episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.18,1.562,428.62
50-99,0.28,1.552,405.7
100-149,0.4,1.799,435.66
150-199,0.36,1.743,410.18
200-249,0.32,1.647,405.72
250-299,0.24,1.864,442.82
300-349,0.32,1.594,423.72
350-399,0.34,1.788,443.72
400-449,0.3,1.75,433.5
450-499,0.38,1.806,446.74
500-549,0.22,1.622,424.38
550-599,0.36,1.907,459.24
600-649,0.34,1.821,441.76
650-699,0.18,1.575,420.82
700-749,0.26,1.768,438.18
750-799,0.22,1.732,436.76
800-849,0.32,1.725,435.34
850-899,0.18,1.988,467.92
900-949,0.22,1.618,428.08
950-999,0.16,1.911,459.5
1000-1049,0.2,1.741,451.38
1050-1099,0.18,1.446,415.06
1100-1149,0.3,1.592,421.54
1150-1199,0.26,1.615,422.36
1200-1249,0.22,1.645,418.18
1250-1299,0.34,1.961,451.74
1300-1349,0.3,1.696,430.66
1350-1399,0.22,1.886,457.18
1400-1449,0.32,1.81,439.64
1450-1499,0.22,1.669,434.72
1500-1549,0.38,1.872,433.88
1550-1599,0.2,1.742,442.76
1600-1649,0.3,1.724,435.12
1650-1699,0.38,2.066,465.5
1700-1749,0.26,1.75,430.08
1750-1799,0.24,1.684,428.92
1800-1849,0.3,1.833,444.92
1850-1899,0.42,1.898,452.12
1900-1949,0.38,1.736,429.62
1950-1999,0.26,1.873,457.08
2000-2049,0.32,1.812,430.06
2050-2099,0.32,1.844,443.12
2100-2149,0.34,1.667,419.46
2150-2199,0.3,1.638,441.02
2200-2249,0.28,1.732,430.52
2250-2299,0.4,1.799,442.1
2300-2349,0.32,2.045,471.94
2350-2399,0.34,1.704,423.18
2400-2449,0.24,1.71,430.3
2450-2499,0.26,1.618,433.6
2500-2549,0.32,1.728,447.2
2550-2599,0.3,1.697,439.14
2600-2649,0.4,1.869,442.94
2650-2699,0.32,1.743,444.0
2700-2749,0.34,1.851,445.2
2750-2799,0.26,1.585,427.1
2800-2849,0.28,1.7,424.98
2850-2899,0.36,1.933,452.08
2900-2949,0.22,1.836,456.82
2950-2999,0.22,1.821,445.14
