episode,winner,ppo_agent_reward,episode_length
0,Conservative,2.1,500
1,ValueBuyer,-0.2,223
2,ValueBuyer,1.8,500
3,ValueBuyer,0.25,238
4,Aggressive,2.45,500
5,Conservative,2.3,500
6,ValueBuyer,2.25,500
7,ValueBuyer,0.05,220
8,Aggressive,2.6,500
9,ValueBuyer,2.1,500
10,Conservative,2.05,500
11,Conservative,1.25,452
12,Conservative,1.8,500
13,Conservative,0.25,237
14,Conservative,0.35,328
15,Random,2.2,500
16,Conservative,2.2,500
17,ValueBuyer,0.15,357
18,Aggressive,2.55,500
19,Conservative,0.15,269
20,Conservative,0.55,328
21,ValueBuyer,2.3,500
22,Conservative,0.65,500
23,Aggressive,2.45,500
24,Conservative,2.0,500
25,ValueBuyer,2.35,500
26,Conservative,0.6,281
27,Conservative,0.75,450
28,ValueBuyer,1.95,500
29,Conservative,1.9,500
30,ValueBuyer,2.4,500
31,Random,2.0,500
32,Conservative,0.65,290
33,Conservative,2.05,500
34,Conservative,1.95,500
35,Conservative,0.25,245
36,ValueBuyer,2.1,500
37,ValueBuyer,-0.4,255
38,Conservative,0.05,238
39,Aggressive,2.55,500
40,Conservative,2.0,500
41,Random,2.35,500
42,Aggressive,1.9,313
43,ValueBuyer,2.25,500
44,Aggressive,2.25,500
45,Aggressive,1.85,328
46,Aggressive,2.6,500
47,Conservative,2.05,500
48,ValueBuyer,2.1,500
49,Random,1.0,379
50,ValueBuyer,0.7,351
51,Conservative,2.1,500
52,Aggressive,2.25,425
53,Aggressive,1.75,283
54,Random,2.15,500
55,ValueBuyer,2.3,500
56,Conservative,2.35,500
57,ValueBuyer,0.25,252
58,Random,2.7,500
59,Aggressive,2.4,500
60,Aggressive,2.25,500
61,ValueBuyer,2.2,500
62,Aggressive,2.45,500
63,ValueBuyer,0.2,117
64,ValueBuyer,0.25,279
65,Conservative,2.1,500
66,ValueBuyer,2.15,500
67,ValueBuyer,2.4,500
68,Conservative,1.1,466
69,Conservative,2.45,500
70,Conservative,1.8,500
71,ValueBuyer,-0.6,478
72,Aggressive,2.55,444
73,Aggressive,2.55,500
74,Conservative,0.1,212
75,Random,2.15,500
76,ValueBuyer,2.45,500
77,ValueBuyer,0.35,316
78,Aggressive,2.7,500
79,Conservative,0.4,424
80,ValueBuyer,2.25,500
81,Aggressive,2.5,500
82,Conservative,0.6,260
83,Conservative,0.55,216
84,Aggressive,2.75,438
85,Aggressive,2.45,500
86,ValueBuyer,-0.25,180
87,Aggressive,2.45,500
88,Aggressive,2.1,331
89,ValueBuyer,0.15,171
90,Conservative,0.6,378
91,ValueBuyer,-0.25,214
92,Aggressive,2.1,345
93,ValueBuyer,0.35,232
94,ValueBuyer,0.1,224
95,ValueBuyer,2.15,500
96,Conservative,0.9,488
97,Conservative,0.4,261
98,ValueBuyer,2.45,500
99,Conservative,2.3,500
100,Aggressive,2.45,500
101,Conservative,1.2,422
102,Aggressive,2.4,500
103,Conservative,2.2,500
104,Conservative,-0.2,160
105,ValueBuyer,1.85,500
106,Aggressive,2.4,500
107,Random,0.15,292
