update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0102,0.0822,0.6815,0.0302
2,buy,-0.0429,0.1932,0.637,0.0531
3,buy,-0.0518,0.0911,0.581,-0.0069
4,improve,0.0048,0.1061,0.6408,0.0572
5,buy,0.0271,0.2059,0.4894,0.1296
6,improve,-0.0099,0.1123,0.5876,0.0457
7,buy,-0.0191,0.2462,0.4411,0.1035
8,buy,0.0008,0.1763,0.4145,0.0886
9,improve,-0.0151,0.2815,0.5343,0.1252
10,improve,0.0097,0.0473,0.4934,0.0328
11,buy,-0.0311,0.142,0.4726,0.0394
12,improve,-0.0096,0.2176,0.6096,0.0986
13,buy,0.0017,0.127,0.4841,0.0648
14,improve,-0.0063,0.0853,0.4427,0.036
15,buy,0.0006,0.0969,0.4143,0.0486
16,improve,0.0014,0.1593,0.5603,0.0804
17,buy,0.0017,0.1236,0.3988,0.0632
18,improve,-0.0007,0.2734,0.5022,0.1355
19,buy,-0.0331,0.1027,0.4247,0.0178
20,improve,0.0043,0.0426,0.5346,0.025
21,buy,0.0547,0.1357,0.5306,0.122
22,improve,-0.002,0.0862,0.5475,0.0405
23,buy,-0.0135,0.117,0.5454,0.0444
24,improve,0.0458,0.0801,0.423,0.0854
25,buy,-0.097,0.0893,0.6123,-0.053
26,improve,0.0006,0.2493,0.3576,0.1249
27,improve,0.0001,0.06,0.404,0.0297
28,buy,-0.0017,0.0753,0.6348,0.0354
29,improve,-0.0011,0.0353,0.4238,0.0161
30,buy,0.0087,0.0899,0.5919,0.0531
31,improve,0.0064,0.0429,0.3583,0.0275
32,buy,0.0024,0.1038,0.5499,0.0538
33,improve,0.0046,0.05,0.5581,0.029
34,buy,0.0002,0.098,0.5477,0.0486
35,buy,-0.0097,0.065,0.5581,0.0222
36,improve,-0.002,0.0718,0.4573,0.0334
37,buy,-0.1165,0.1369,0.567,-0.0486
38,improve,0.0026,0.1132,0.5144,0.0587
39,buy,0.0233,0.1021,0.5553,0.0738
40,improve,-0.0043,0.0236,0.4532,0.007
41,buy,-0.0424,0.1678,0.5173,0.041
42,improve,-0.0005,0.2195,0.3668,0.1089
43,buy,0.4748,0.1031,0.4888,0.5258
44,improve,-0.0099,0.0704,0.3038,0.0249
45,buy,-0.0158,0.1277,0.5456,0.0475
46,improve,0.0477,0.1164,0.2736,0.1056
47,buy,-0.0178,0.0938,0.5335,0.0286
48,improve,-0.0152,0.0594,0.3061,0.0142
49,buy,-0.0002,0.0999,0.5203,0.0493
50,improve,-0.0084,0.0721,0.3677,0.0273
51,buy,-0.0082,0.1467,0.5493,0.0646
52,improve,0.0033,0.0702,0.2901,0.0381
53,buy,-0.0269,0.1412,0.4754,0.0432
54,improve,0.0056,0.0476,0.1316,0.0293
55,improve,-0.0141,0.0278,0.2703,-0.0005
56,buy,0.0273,0.0854,0.4034,0.0696
57,improve,0.0041,0.2248,0.2224,0.1163
58,improve,-0.0056,0.0242,0.2123,0.0063
59,buy,-0.2374,0.0801,0.4076,-0.1978
60,improve,-0.0052,0.0814,0.165,0.0353
61,buy,0.0469,0.1454,0.3553,0.1193
62,improve,-0.0012,0.0461,0.1778,0.0217
63,buy,-0.0082,0.1396,0.3158,0.0613
64,improve,0.0354,0.0497,0.3111,0.06
65,improve,0.0241,0.0108,0.1233,0.0293
66,buy,0.0441,0.1323,0.2506,0.11
67,improve,0.0018,0.0839,0.1699,0.0436
68,improve,-0.0001,0.0177,0.2114,0.0085
69,buy,-0.0548,0.1505,0.2286,0.0203
70,improve,-0.002,0.046,0.1622,0.0209
71,improve,-0.0001,0.1671,0.1447,0.0833
72,improve,-0.0032,0.0857,0.1035,0.0395
73,buy,-0.0132,0.1943,0.185,0.0838
74,improve,0.228,0.1154,0.156,0.2855
75,improve,0.0183,0.0282,0.1358,0.0323
76,improve,-0.0084,0.0282,0.1507,0.0056
77,buy,-0.0003,0.1938,0.1968,0.0964
78,improve,-0.0019,0.0067,0.1564,0.0012
79,improve,0.0078,0.0975,0.1224,0.0564
80,improve,-0.0121,0.0583,0.1034,0.017
81,buy,0.0236,0.1572,0.1927,0.102
82,improve,-0.0349,0.0415,0.1353,-0.0143
83,buy,0.0365,0.1494,0.1708,0.111
84,improve,-0.0038,0.0121,0.0574,0.0022
85,buy,-0.0009,0.163,0.1487,0.0805
86,improve,-0.0302,0.2344,0.0176,0.087
87,improve,0.0104,0.052,0.0575,0.0363
88,buy,-0.1443,0.4065,0.1374,0.0588
89,improve,-0.0058,0.0614,0.058,0.0248
90,buy,-0.0889,0.155,0.1196,-0.0115
91,improve,0.0006,0.0181,0.0939,0.0095
92,buy,0.0906,0.234,0.1219,0.2075
93,improve,-0.0034,0.0176,0.0412,0.0053
94,buy,0.0743,0.2067,0.0989,0.1775
95,improve,0.016,0.1583,0.0246,0.0951
96,buy,-0.008,0.254,0.0943,0.1189
97,improve,0.0073,0.0268,0.0322,0.0207
98,buy,-0.0018,0.2677,0.095,0.1319
99,improve,-0.0007,0.0349,0.0302,0.0167
100,buy,0.0671,0.2424,0.0914,0.1882
101,improve,-0.0126,0.0364,0.062,0.0055
102,improve,-0.0334,0.032,0.0462,-0.0175
103,improve,-0.0109,0.0104,0.0465,-0.0057
104,buy,0.118,0.2249,0.0958,0.2304
105,improve,0.0111,0.0412,0.0395,0.0316
106,buy,-0.1095,0.1627,0.1049,-0.0283
107,improve,-0.0087,0.0076,0.0276,-0.005
108,improve,-0.0091,0.0127,0.0263,-0.0028
109,buy,-0.0221,0.1739,0.0952,0.0647
110,improve,-0.0082,0.1519,0.0391,0.0677
111,buy,-0.0045,0.1451,0.1019,0.0679
112,improve,-0.0138,0.0158,0.03,-0.006
113,buy,0.0341,0.1654,0.1108,0.1167
114,improve,0.0038,0.0311,0.0256,0.0194
115,buy,-0.0018,0.348,0.1169,0.1721
116,improve,0.0022,0.0328,0.0354,0.0186
117,improve,0.069,0.0427,0.0221,0.0903
118,improve,-0.0185,0.0089,0.032,-0.0141
119,improve,-0.002,0.0096,0.0153,0.0027
120,improve,-0.0089,0.0243,0.0215,0.0032
121,improve,-0.0076,0.0398,0.0235,0.0122
122,buy,0.0012,0.2101,0.1164,0.1061
123,improve,-0.0811,0.0809,0.044,-0.0407
124,improve,0.0147,0.0068,0.0279,0.0181
125,improve,-0.0449,0.0041,0.0196,-0.0429
126,improve,0.0033,0.01,0.0152,0.0083
127,buy,-0.0067,0.1517,0.1228,0.069
128,improve,0.0245,0.059,0.0161,0.054
129,buy,0.0004,0.2311,0.1193,0.1158
130,improve,0.0495,0.0044,0.0081,0.0517
131,buy,-0.0002,0.1037,0.1303,0.0515
132,improve,-0.0035,0.0186,0.02,0.0058
133,buy,0.0265,0.1237,0.1071,0.0883
134,improve,0.0002,0.0234,0.0162,0.0118
135,buy,0.0002,0.1908,0.1506,0.0955
136,improve,0.006,0.0164,0.0285,0.0142
137,buy,0.0118,0.1506,0.1602,0.087
138,improve,0.0054,0.0413,0.0392,0.026
139,buy,0.1784,0.2057,0.1559,0.2811
140,improve,-0.0012,0.0141,0.0137,0.0058
141,buy,-0.0237,0.1795,0.1782,0.0659
142,improve,0.0048,0.0701,0.0113,0.0398
143,buy,-0.0141,0.1697,0.1795,0.0706
144,improve,-0.0058,0.0511,0.028,0.0197
145,buy,0.0155,0.19,0.2112,0.1103
146,buy,0.2201,0.1372,0.2062,0.2885
147,improve,-0.0083,0.0638,0.0081,0.0236
148,buy,0.0158,0.1506,0.2313,0.0909
149,improve,-0.0078,0.0821,0.0297,0.0332
150,buy,0.0345,0.1541,0.2322,0.1113
151,improve,0.0044,0.0364,0.0118,0.0226
152,improve,0.0002,0.0148,0.0143,0.0076
153,buy,0.0051,0.1666,0.2037,0.0882
154,improve,0.0047,0.0943,0.0106,0.0518
155,improve,-0.0072,0.0143,0.0072,-0.0001
156,buy,0.0227,0.147,0.1944,0.096
157,improve,0.0014,0.0701,0.0133,0.0364
158,buy,0.0131,0.2714,0.1655,0.1486
159,improve,-0.0024,0.0368,0.0095,0.016
160,improve,-0.0034,0.1062,0.0152,0.0497
161,buy,0.0368,0.2342,0.1765,0.1537
162,improve,0.01,0.0558,0.0094,0.0378
163,improve,-0.0271,0.0555,0.0173,0.0007
164,buy,-0.0,0.2078,0.1854,0.1037
165,improve,-0.0008,0.0276,0.0095,0.013
166,improve,-0.025,0.0254,0.0093,-0.0123
167,buy,-0.018,0.1335,0.2178,0.0485
168,improve,0.005,0.0716,0.0131,0.0408
169,buy,0.0043,0.2683,0.2107,0.1382
170,improve,0.006,0.0383,0.0068,0.0251
171,improve,0.021,0.1863,0.0053,0.1142
172,improve,-0.0079,0.0196,0.0098,0.0019
173,buy,0.0725,0.2278,0.1911,0.1862
174,improve,0.0164,0.0618,0.0116,0.0473
175,improve,-0.0146,0.0085,0.0058,-0.0103
176,improve,-0.0072,0.0097,0.0057,-0.0023
177,buy,-0.0266,0.127,0.1832,0.0367
178,improve,0.0438,0.0477,0.0075,0.0676
179,improve,0.0319,0.0394,0.0064,0.0516
180,improve,0.066,0.0096,0.0112,0.0708
181,buy,0.0099,0.1447,0.2119,0.0821
182,improve,-0.0587,0.0529,0.0075,-0.0322
