episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.04,1.09,379.16
50-99,0.14,1.115,374.46
100-149,0.32,1.571,412.34
150-199,0.22,1.344,375.8
200-249,0.26,1.316,384.62
250-299,0.34,1.742,419.74
300-349,0.26,1.635,409.56
350-399,0.28,1.417,395.74
400-449,0.24,1.537,412.4
450-499,0.22,1.507,417.4
500-549,0.26,1.777,441.66
550-599,0.26,1.678,418.84
600-649,0.2,1.559,418.26
650-699,0.16,1.51,418.82
700-749,0.18,1.676,432.12
750-799,0.28,1.613,414.54
800-849,0.22,1.543,411.52
850-899,0.1,1.603,411.9
900-949,0.18,1.509,419.18
950-999,0.24,1.655,429.04
1000-1049,0.24,1.627,421.8
1050-1099,0.2,1.452,414.74
1100-1149,0.26,1.83,436.6
1150-1199,0.24,1.591,419.84
1200-1249,0.22,1.548,399.94
1250-1299,0.22,1.666,429.24
1300-1349,0.2,1.579,413.54
1350-1399,0.22,1.426,397.52
1400-1449,0.2,1.513,412.66
1450-1499,0.14,1.43,401.56
1500-1549,0.26,1.637,423.08
1550-1599,0.28,1.637,429.08
1600-1649,0.22,1.486,402.16
1650-1699,0.26,1.834,439.7
1700-1749,0.38,1.746,425.96
1750-1799,0.18,1.627,415.4
1800-1849,0.28,1.773,430.72
1850-1899,0.22,1.876,452.08
1900-1949,0.14,1.277,395.32
1950-1999,0.1,1.465,426.44
2000-2049,0.24,1.478,391.5
2050-2099,0.2,1.523,402.42
2100-2149,0.18,1.678,432.3
2150-2199,0.14,1.729,419.72
2200-2249,0.3,1.802,433.5
2250-2299,0.2,1.66,415.14
2300-2349,0.34,1.794,437.88
2350-2399,0.24,1.724,415.8
2400-2449,0.3,1.301,387.06
2450-2499,0.28,1.762,437.6
2500-2549,0.26,1.401,398.72
2550-2599,0.22,1.56,388.4
2600-2649,0.14,1.65,426.02
2650-2699,0.26,1.558,415.4
2700-2749,0.24,1.558,415.24
2750-2799,0.18,1.692,437.62
2800-2849,0.24,1.681,432.18
2850-2899,0.3,1.599,424.96
2900-2949,0.28,1.375,403.44
2950-2999,0.2,1.758,430.28
