update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0333,0.0922,0.5943,0.0122
2,buy,-0.01,0.1069,0.6231,0.0429
3,buy,-0.0294,0.0779,0.6732,0.0088
4,buy,-0.0528,0.0939,0.668,-0.0065
5,buy,0.0035,0.1008,0.6047,0.0533
6,improve,-0.0054,0.355,0.6008,0.1715
7,buy,0.0312,0.1556,0.5402,0.1085
8,buy,0.0013,0.0559,0.5307,0.0287
9,improve,0.0401,0.2033,0.6604,0.1411
10,buy,0.0225,0.0861,0.5074,0.065
11,improve,-0.009,0.066,0.6434,0.0233
12,buy,-0.0147,0.0819,0.4162,0.0258
13,improve,-0.0078,0.1081,0.6464,0.0456
14,buy,0.0055,0.0791,0.3819,0.0446
15,improve,0.0027,0.0858,0.5659,0.045
16,improve,-0.0001,0.0674,0.5197,0.0331
17,buy,-0.0013,0.0921,0.39,0.0444
18,improve,0.0002,0.0529,0.419,0.0262
19,buy,0.1016,0.1173,0.3301,0.1599
20,improve,0.0104,0.0683,0.4476,0.0441
21,buy,-0.0098,0.243,0.3332,0.1113
22,improve,-0.0191,0.0922,0.5517,0.0265
23,buy,0.0818,0.1106,0.3383,0.1368
24,improve,0.0029,0.1213,0.5711,0.063
25,improve,-0.0012,0.026,0.408,0.0114
26,buy,0.0029,0.1052,0.3387,0.0551
27,improve,-0.0435,0.0476,0.4456,-0.0201
28,buy,-0.0017,0.1606,0.3155,0.0783
29,improve,-0.0014,0.0793,0.4234,0.0378
30,buy,0.0072,0.0768,0.3121,0.0453
31,improve,-0.0243,0.8821,0.2869,0.4165
32,buy,0.002,0.1355,0.2686,0.0695
33,improve,0.0017,0.327,0.2851,0.1649
34,buy,-0.0177,0.059,0.2461,0.0116
35,improve,0.0053,0.2474,0.3369,0.1287
36,buy,0.0109,0.0802,0.2894,0.0507
37,improve,0.0025,0.2411,0.3171,0.1227
38,buy,0.0239,0.1015,0.2886,0.0743
39,improve,0.0481,0.3416,0.3572,0.2185
40,improve,0.0083,0.0454,0.3383,0.0306
41,buy,-0.1723,0.0936,0.2633,-0.1258
42,improve,0.0199,0.0906,0.2409,0.065
43,buy,0.2298,0.1388,0.2267,0.299
44,improve,0.0023,0.0138,0.2242,0.0089
45,buy,0.0019,0.159,0.233,0.0812
46,improve,-0.0075,0.147,0.1936,0.0658
47,improve,-0.0107,0.0294,0.1572,0.0038
48,improve,-0.0008,0.1939,0.1536,0.096
49,buy,-0.0027,0.1798,0.2086,0.087
50,improve,-0.0033,0.145,0.2093,0.069
51,improve,-0.0127,0.0154,0.2172,-0.0052
52,buy,0.003,0.1684,0.197,0.087
53,improve,-0.0013,0.227,0.2111,0.112
54,buy,-0.003,0.1478,0.1881,0.0707
