episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.14,1.578,423.02
50-99,0.16,1.688,440.4
100-149,0.18,1.574,421.04
150-199,0.18,1.455,401.28
200-249,0.26,1.507,417.74
250-299,0.14,1.451,432.9
300-349,0.18,1.237,384.5
350-399,0.36,1.75,439.3
400-449,0.24,1.452,398.68
450-499,0.32,1.569,414.44
500-549,0.38,1.592,433.54
550-599,0.28,1.419,396.74
600-649,0.18,1.516,412.98
650-699,0.32,1.72,428.9
700-749,0.3,1.51,403.88
750-799,0.26,1.327,399.2
800-849,0.32,1.578,397.94
850-899,0.34,1.718,427.64
900-949,0.24,1.541,432.66
950-999,0.2,1.281,394.34
1000-1049,0.24,1.76,440.84
1050-1099,0.16,1.225,395.48
1100-1149,0.2,1.317,395.04
1150-1199,0.28,1.497,412.36
1200-1249,0.28,1.456,404.98
1250-1299,0.2,1.762,450.74
1300-1349,0.28,1.548,400.02
1350-1399,0.22,1.605,415.84
1400-1449,0.3,1.556,413.52
1450-1499,0.3,1.531,399.66
1500-1549,0.22,1.475,387.76
1550-1599,0.22,1.271,386.6
1600-1649,0.26,1.398,399.18
1650-1699,0.2,1.39,406.9
1700-1749,0.36,1.665,437.44
1750-1799,0.18,1.704,432.68
1800-1849,0.2,1.635,440.76
1850-1899,0.24,1.316,417.44
1900-1949,0.32,1.67,422.32
1950-1999,0.32,1.827,444.62
2000-2049,0.28,1.735,428.48
2050-2099,0.38,1.401,380.44
2100-2149,0.12,1.13,395.02
2150-2199,0.3,1.479,404.88
2200-2249,0.22,1.528,417.5
2250-2299,0.28,1.676,434.0
2300-2349,0.28,1.238,382.88
2350-2399,0.3,1.264,387.24
2400-2449,0.18,1.433,412.92
2450-2499,0.26,1.698,430.92
2500-2549,0.22,1.426,396.72
2550-2599,0.38,1.59,418.76
2600-2649,0.28,1.421,403.98
2650-2699,0.28,1.692,426.88
2700-2749,0.18,1.359,408.26
2750-2799,0.28,1.494,422.92
2800-2849,0.24,1.43,406.22
2850-2899,0.2,1.433,406.66
2900-2949,0.36,1.58,402.64
2950-2999,0.24,1.289,383.26
