episode,winner,ppo_agent_reward,episode_length
0,ValueBuyer,0.85,380
1,Aggressive,2.0,500
2,Aggressive,0.1,435
3,ValueBuyer,2.3,500
4,Conservative,2.0,500
5,Conservative,2.1,500
6,ValueBuyer,2.15,500
7,Aggressive,1.95,500
8,Random,1.45,233
9,Random,1.25,180
10,Conservative,2.25,500
11,Aggressive,0.5,418
12,Conservative,2.45,500
13,Random,1.9,347
14,Conservative,2.05,500
15,Aggressive,-0.25,244
16,Conservative,2.15,500
17,Conservative,0.75,372
18,ValueBuyer,0.9,500
19,Random,2.45,500
20,Aggressive,-0.25,184
21,Conservative,2.0,500
22,ValueBuyer,-0.2,209
23,Conservative,2.35,500
24,Aggressive,0.4,198
25,Aggressive,2.3,500
26,Aggressive,2.4,500
27,ValueBuyer,2.0,500
28,ValueBuyer,2.15,500
29,Conservative,2.05,500
30,Conservative,2.1,500
31,Conservative,0.2,359
32,Aggressive,2.35,500
33,ValueBuyer,2.0,500
34,Aggressive,2.15,500
35,Aggressive,-0.15,170
36,Aggressive,0.4,320
37,Conservative,2.55,500
38,Aggressive,1.9,500
39,ValueBuyer,0.3,351
40,ValueBuyer,2.35,500
41,Aggressive,2.3,500
42,Random,1.15,147
43,Random,2.75,446
44,Aggressive,2.3,500
45,ValueBuyer,0.75,304
46,Aggressive,0.4,354
47,Random,2.15,500
48,Conservative,2.4,500
49,Aggressive,2.05,500
50,Aggressive,-0.4,129
51,Conservative,0.8,500
52,ValueBuyer,2.1,500
53,Conservative,2.9,500
54,Conservative,1.95,500
55,ValueBuyer,2.1,500
56,Aggressive,2.4,500
57,Random,2.5,500
58,Aggressive,0.1,378
59,ValueBuyer,-0.15,216
60,Random,2.15,500
61,Conservative,2.1,500
62,Random,2.15,500
63,Conservative,2.85,500
64,Aggressive,2.2,500
65,Aggressive,2.25,500
66,ValueBuyer,2.3,500
67,Aggressive,2.0,500
68,Random,2.2,500
69,Conservative,1.9,500
70,Aggressive,0.45,317
71,Conservative,1.95,500
72,ValueBuyer,0.05,308
