update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0335,0.2295,0.5865,0.0806
2,improve,0.022,0.2476,0.4704,0.1454
3,buy,0.0246,0.2071,0.6361,0.1274
4,buy,0.0008,0.0908,0.6054,0.0456
5,buy,0.0742,0.1703,0.5843,0.1588
6,buy,-0.0266,0.0706,0.5619,0.0081
7,buy,-0.008,0.0394,0.5635,0.0112
8,improve,-0.0151,0.0808,0.3967,0.0249
9,buy,-0.0052,0.0527,0.431,0.0207
10,buy,-0.0149,0.064,0.4531,0.0166
11,improve,-0.021,0.13,0.3139,0.0437
12,buy,-0.0044,0.0941,0.5456,0.0421
13,improve,-0.0407,0.2333,0.2631,0.0756
14,buy,-0.055,0.0516,0.4514,-0.0296
15,buy,0.0001,0.0662,0.4736,0.0328
16,buy,-0.0103,0.0319,0.424,0.0053
17,buy,-0.0066,0.0377,0.3721,0.0119
18,improve,-0.0379,0.2289,0.322,0.0762
19,buy,-0.0039,0.0228,0.3274,0.0071
20,buy,-0.0025,0.0199,0.3488,0.0071
21,improve,0.0582,0.3984,0.1928,0.2572
22,buy,0.0118,0.0552,0.4023,0.0391
23,improve,-0.0164,0.1359,0.2356,0.0514
24,buy,0.0036,0.0272,0.386,0.0168
25,improve,0.0286,0.1607,0.2515,0.1087
26,buy,-0.0117,0.0097,0.3846,-0.0072
27,buy,0.0304,0.0164,0.3465,0.0383
28,improve,-0.0031,0.2712,0.1927,0.1323
29,buy,-0.2497,0.0504,0.321,-0.2248
30,improve,-0.0002,0.2585,0.1656,0.1289
31,buy,-0.0083,0.0224,0.2358,0.0027
32,improve,0.0006,0.1998,0.1628,0.1003
33,buy,-0.0019,0.0143,0.181,0.005
34,improve,-0.0938,0.2319,0.1642,0.022
35,buy,0.0027,0.0155,0.1546,0.0103
36,improve,0.0925,0.1692,0.1431,0.177
37,buy,-0.0292,0.0217,0.1371,-0.0185
38,buy,-0.0008,0.0273,0.1113,0.0128
39,improve,-0.029,0.3945,0.1306,0.1681
40,buy,-0.0008,0.0235,0.0938,0.0108
41,buy,-0.0177,0.0204,0.0753,-0.0076
42,buy,0.0015,0.0122,0.0621,0.0075
43,improve,-0.105,0.1522,0.0884,-0.029
44,buy,-0.0006,0.0149,0.0609,0.0068
45,improve,-0.0078,0.3644,0.0821,0.1743
46,buy,0.0381,0.0231,0.0574,0.0496
47,improve,-0.0035,0.1674,0.0939,0.0801
48,buy,-0.0004,0.0149,0.0475,0.007
49,buy,0.0148,0.0154,0.0436,0.0225
50,improve,-0.043,0.1967,0.086,0.0553
51,buy,-0.0068,0.0092,0.0435,-0.0023
52,buy,0.0059,0.0138,0.0537,0.0128
53,improve,0.0242,0.1083,0.0946,0.0783
54,buy,-0.0094,0.0168,0.0586,-0.0011
55,buy,0.0058,0.0112,0.0545,0.0114
56,improve,-0.0128,0.2783,0.0875,0.1262
57,buy,0.0259,0.0144,0.0561,0.033
58,improve,-0.0048,0.2551,0.0706,0.1226
59,buy,0.0145,0.018,0.062,0.0234
60,improve,0.0056,0.1449,0.0718,0.078
61,buy,0.0058,0.0135,0.0597,0.0125
62,improve,-0.059,0.2367,0.0597,0.0593
63,buy,0.0119,0.0323,0.0595,0.028
64,improve,0.0125,0.1404,0.0522,0.0826
65,buy,-0.0019,0.0182,0.0528,0.0072
66,improve,-0.0862,0.2615,0.0638,0.0445
67,buy,-0.0009,0.0188,0.0562,0.0085
68,buy,-0.0004,0.0103,0.0464,0.0047
69,improve,0.1311,0.1198,0.073,0.1909
70,buy,-0.0553,0.0146,0.0465,-0.0481
71,buy,0.0014,0.0166,0.0376,0.0097
72,improve,0.0336,0.1367,0.0591,0.1019
