episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.12,1.493,453.3
50-99,0.24,1.574,422.24
100-149,0.18,1.783,449.56
150-199,0.3,1.388,396.5
200-249,0.3,1.591,407.64
250-299,0.3,1.918,458.78
300-349,0.34,1.587,418.38
350-399,0.3,1.665,427.58
400-449,0.42,1.923,466.48
450-499,0.36,1.843,457.38
500-549,0.24,1.555,432.64
550-599,0.22,1.868,452.4
600-649,0.26,1.925,473.44
650-699,0.26,1.692,447.24
700-749,0.22,1.966,472.58
750-799,0.16,1.62,419.08
800-849,0.2,1.803,448.02
850-899,0.28,1.772,451.14
900-949,0.22,1.885,461.04
950-999,0.2,1.795,452.68
1000-1049,0.14,1.906,468.74
1050-1099,0.16,1.606,434.1
1100-1149,0.12,1.682,435.3
1150-1199,0.26,1.791,447.34
1200-1249,0.34,1.851,445.46
1250-1299,0.26,1.731,451.72
1300-1349,0.26,1.744,443.2
1350-1399,0.18,1.847,446.86
1400-1449,0.24,1.787,449.92
1450-1499,0.14,1.652,438.78
1500-1549,0.26,1.983,470.24
1550-1599,0.2,1.873,463.2
1600-1649,0.14,1.648,433.26
1650-1699,0.1,1.752,449.18
1700-1749,0.2,1.728,437.94
1750-1799,0.2,1.766,443.54
1800-1849,0.06,1.625,437.0
1850-1899,0.28,1.678,440.0
1900-1949,0.2,1.552,431.64
1950-1999,0.18,1.851,450.24
2000-2049,0.16,1.711,445.22
2050-2099,0.22,1.724,437.8
2100-2149,0.24,1.807,445.68
2150-2199,0.12,1.416,424.74
2200-2249,0.28,1.711,452.88
2250-2299,0.18,1.855,464.0
2300-2349,0.26,1.823,455.7
2350-2399,0.16,1.606,428.2
2400-2449,0.28,1.758,434.88
2450-2499,0.28,1.796,453.9
2500-2549,0.16,1.445,413.02
2550-2599,0.22,1.656,430.76
2600-2649,0.18,1.961,473.34
2650-2699,0.16,1.92,469.3
2700-2749,0.22,1.876,452.7
2750-2799,0.28,1.57,435.26
2800-2849,0.24,1.905,466.62
2850-2899,0.28,1.823,447.96
2900-2949,0.22,1.772,449.94
2950-2999,0.28,1.998,472.92
