episode,winner,ppo_agent_reward,episode_length
0,Conservative,2.2,500
1,Aggressive,1.95,500
2,Aggressive,-0.85,76
3,Aggressive,2.05,500
4,Aggressive,2.05,500
5,Aggressive,0.1,292
6,Aggressive,-0.05,238
7,Random,0.8,500
8,Aggressive,2.1,500
9,Random,0.75,437
10,Aggressive,0.3,500
11,Conservative,2.0,500
12,Random,2.15,500
13,Conservative,1.7,500
14,Conservative,-0.05,234
15,Random,0.0,500
16,Conservative,2.1,500
17,Conservative,2.0,500
18,Aggressive,0.5,500
19,Conservative,1.5,500
20,ValueBuyer,2.05,500
21,Aggressive,2.15,500
22,Conservative,1.9,500
23,Aggressive,2.15,500
24,Conservative,2.1,500
25,Aggressive,0.2,298
26,Aggressive,2.15,500
27,ValueBuyer,2.3,500
28,Aggressive,1.9,500
29,Aggressive,-0.1,314
30,Aggressive,0.5,380
31,Conservative,2.25,500
32,Aggressive,-0.35,202
33,ValueBuyer,2.45,500
34,Conservative,2.2,500
35,Aggressive,2.0,500
36,ValueBuyer,2.4,500
37,Conservative,2.15,500
38,Conservative,2.05,500
39,Aggressive,1.75,500
40,Conservative,0.2,500
41,ValueBuyer,2.25,500
42,Conservative,2.4,500
43,Conservative,2.25,500
44,Aggressive,2.4,500
45,Aggressive,-0.5,194
46,Aggressive,2.0,500
47,Conservative,2.2,500
48,Conservative,1.9,500
49,ValueBuyer,2.05,500
50,ValueBuyer,2.1,399
51,Conservative,2.1,500
52,Aggressive,0.9,500
53,ValueBuyer,1.55,285
54,Conservative,2.25,500
55,Aggressive,0.1,293
56,Aggressive,-0.35,192
57,Conservative,1.95,500
58,Conservative,2.05,500
59,Aggressive,-0.15,264
60,Conservative,2.1,500
61,Conservative,2.2,500
62,Aggressive,2.1,500
63,ValueBuyer,1.3,146
64,Conservative,2.2,500
65,Conservative,2.05,500
66,Aggressive,0.75,327
67,ValueBuyer,2.2,500
68,Aggressive,2.0,500
69,Conservative,0.0,279
70,ValueBuyer,2.75,500
71,ValueBuyer,1.15,256
72,Aggressive,2.1,500
73,ValueBuyer,2.35,500
74,Aggressive,0.3,309
75,Random,1.85,500
76,Aggressive,0.25,242
77,Conservative,1.85,500
78,Aggressive,2.05,500
79,Aggressive,2.5,500
80,Random,2.3,500
81,Aggressive,1.7,500
82,Conservative,2.25,500
83,Aggressive,2.4,500
84,Aggressive,2.05,500
85,Random,2.35,500
86,Aggressive,0.2,266
87,ValueBuyer,2.4,500
88,Conservative,2.4,500
89,Aggressive,2.1,500
90,Random,-0.25,273
91,Aggressive,0.3,339
92,Aggressive,-0.2,211
93,Conservative,-0.35,251
94,Aggressive,0.35,304
95,ValueBuyer,3.05,500
96,Aggressive,1.65,500
97,ValueBuyer,2.4,500
98,ValueBuyer,2.75,476
99,ValueBuyer,2.3,500
100,Aggressive,2.2,500
101,Conservative,0.95,500
102,Aggressive,0.4,348
103,Conservative,2.15,500
104,Aggressive,2.25,500
105,ValueBuyer,2.25,500
106,Aggressive,2.1,500
107,Random,0.0,245
108,Aggressive,-0.25,193
109,Conservative,2.25,500
110,ValueBuyer,2.1,500
111,Aggressive,2.3,500
112,Aggressive,2.55,500
113,Aggressive,2.25,500
114,ValueBuyer,2.6,500
115,Aggressive,0.8,365
116,ValueBuyer,2.6,500
117,ValueBuyer,2.35,500
118,Aggressive,2.1,500
119,Conservative,2.3,500
120,Conservative,2.0,500
