update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0358,0.0259,0.6872,-0.0235
2,buy,-0.0018,0.0872,0.6903,0.0411
3,buy,-0.0032,0.0769,0.6872,0.0345
4,improve,0.0214,0.1834,0.6629,0.1125
5,buy,0.0898,0.1005,0.6373,0.1394
6,improve,-0.0065,0.0272,0.6503,0.0065
7,buy,-0.044,0.0729,0.5713,-0.0081
8,buy,-0.0069,0.0723,0.5214,0.0287
9,improve,-0.0004,0.1296,0.6044,0.0638
10,buy,-0.0033,0.141,0.4231,0.0667
11,buy,0.1009,0.0595,0.3831,0.1303
12,improve,-0.0057,0.1838,0.6787,0.0855
13,buy,-0.0025,0.0953,0.3154,0.0448
14,improve,-0.052,0.1038,0.662,-0.0007
15,buy,-0.007,0.0598,0.2651,0.0227
16,improve,-0.0282,0.1172,0.4941,0.0299
17,buy,-0.0072,0.1069,0.1982,0.046
18,improve,0.0192,0.1763,0.5325,0.1068
19,buy,0.1141,0.2207,0.217,0.2242
20,improve,-0.0041,0.0298,0.5265,0.0102
21,buy,0.0007,0.0612,0.1925,0.0312
22,improve,-0.005,0.1823,0.4492,0.0857
23,buy,-0.014,0.107,0.1945,0.0393
24,improve,-0.0016,0.4745,0.4666,0.2351
25,buy,-0.0049,0.1267,0.17,0.0583
26,improve,0.0227,0.1383,0.5459,0.0913
27,buy,-0.0293,0.1407,0.1553,0.0409
28,improve,-0.0121,0.193,0.5805,0.0838
29,buy,-0.0288,0.135,0.1551,0.0386
30,improve,0.0022,0.2807,0.5193,0.142
31,buy,0.0161,0.1121,0.1568,0.072
32,improve,-0.0281,0.1069,0.4479,0.0249
33,buy,-0.0275,0.152,0.1427,0.0483
34,improve,-0.0158,0.1197,0.4481,0.0436
35,buy,-0.0768,0.1383,0.1146,-0.0078
36,improve,-0.0165,0.0828,0.2796,0.0246
37,buy,0.0339,0.1321,0.0986,0.0998
38,improve,-0.0059,0.0417,0.2957,0.0147
39,buy,-0.0366,0.2294,0.1243,0.0779
40,improve,0.0079,0.0386,0.3787,0.0268
41,buy,0.0042,0.1818,0.1004,0.095
42,improve,0.0002,0.1147,0.4104,0.0571
43,improve,-0.0007,0.0188,0.3243,0.0084
44,buy,0.0082,0.092,0.0928,0.0541
45,improve,0.071,0.4598,0.3409,0.3005
46,improve,0.01,0.208,0.249,0.1138
47,buy,0.0036,0.247,0.1073,0.127
48,improve,0.0339,0.1454,0.2939,0.1063
49,buy,0.0096,0.1505,0.1057,0.0848
50,improve,-0.0058,0.1563,0.2789,0.0721
51,improve,-0.0808,0.2386,0.2863,0.0382
52,buy,0.0,0.1834,0.1119,0.0916
53,improve,0.2106,0.4934,0.2112,0.4571
54,improve,0.0054,0.1813,0.2012,0.0959
55,improve,0.0021,0.145,0.2238,0.0744
56,buy,-0.0057,0.2564,0.1241,0.1223
57,improve,-0.0085,0.0674,0.1842,0.025
58,buy,0.0692,0.2287,0.1571,0.1834
59,improve,-0.0019,0.0331,0.1636,0.0145
60,buy,0.015,0.1735,0.141,0.1016
61,improve,-0.009,0.0794,0.1786,0.0306
62,improve,-0.003,0.1364,0.1304,0.0651
63,buy,-0.0677,0.1037,0.1562,-0.016
64,improve,-0.0029,0.4644,0.1063,0.2292
65,improve,-0.0032,0.1165,0.1224,0.0549
66,buy,0.0045,0.245,0.1602,0.1269
67,improve,0.0183,0.2601,0.079,0.1482
68,improve,-0.0012,0.1642,0.1256,0.0808
69,improve,-0.0066,0.1095,0.123,0.048
70,buy,-0.0115,0.2694,0.1719,0.123
71,improve,-0.0233,0.1033,0.0981,0.0282
72,buy,-0.0003,0.286,0.1809,0.1425
73,improve,0.0193,0.0445,0.0788,0.0415
74,buy,0.1684,0.2715,0.1734,0.3039
75,improve,-0.0022,0.0342,0.1247,0.0148
76,buy,-0.0129,0.2159,0.1705,0.0949
77,improve,-0.0019,0.2894,0.0644,0.1427
78,improve,0.0004,0.0253,0.0836,0.013
79,buy,0.0451,0.2111,0.16,0.1505
80,improve,-0.0012,0.1051,0.0851,0.0512
81,improve,-0.0075,0.023,0.0622,0.004
82,buy,0.0081,0.302,0.1751,0.1589
83,improve,0.0269,0.0906,0.066,0.0721
84,buy,0.0317,0.2873,0.1713,0.1752
85,improve,-0.003,0.0347,0.0479,0.0143
86,buy,-0.0102,0.2778,0.1781,0.1286
87,improve,-0.0034,0.0358,0.0451,0.0144
88,buy,0.0567,0.2354,0.1997,0.1742
89,improve,0.0016,0.0812,0.0859,0.0422
90,buy,-0.0092,0.3236,0.2222,0.1523
91,improve,-0.0043,0.1087,0.0639,0.05
92,buy,0.013,0.3249,0.2336,0.1752
93,improve,0.0068,0.0596,0.0802,0.0366
94,buy,-0.002,0.251,0.2556,0.1232
95,improve,0.0218,0.0186,0.0843,0.031
96,buy,0.1293,0.1387,0.2825,0.1983
97,improve,-0.0029,0.0671,0.0814,0.0306
98,improve,0.0138,0.0274,0.066,0.0274
99,buy,-0.0406,0.3136,0.2596,0.1159
100,improve,0.0208,0.0744,0.0456,0.058
101,buy,-0.0027,0.3568,0.2382,0.1755
102,improve,0.0084,0.0403,0.0791,0.0285
