episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.14,36.1531,404.66
50-99,0.08,32.8461,417.98
100-149,0.06,34.7922,418.58
150-199,0.1,30.5582,394.46
200-249,0.04,27.4319,371.6
250-299,0.12,38.0946,424.26
300-349,0.22,40.4823,417.26
350-399,0.24,41.1834,380.34
400-449,0.28,43.3953,394.0
450-499,0.3,51.1115,423.54
500-549,0.2,44.4445,380.3
550-599,0.42,62.1539,407.98
600-649,0.34,63.742,410.1
650-699,0.34,55.5147,402.94
700-749,0.26,50.5183,413.26
750-799,0.32,55.2452,409.44
800-849,0.4,59.1881,394.7
850-899,0.34,51.9196,431.36
900-949,0.44,73.7644,423.3
950-999,0.34,59.2989,422.32
1000-1049,0.38,67.1808,423.5
1050-1099,0.36,82.9223,408.58
1100-1149,0.48,55.8611,388.32
1150-1199,0.42,63.4863,387.24
1200-1249,0.24,49.7153,373.54
1250-1299,0.5,57.5394,416.02
1300-1349,0.54,54.9613,399.54
1350-1399,0.4,54.3957,419.8
1400-1449,0.58,63.1952,395.58
1450-1499,0.42,74.8882,396.6
