episode,winner,ppo_agent_reward,episode_length
0,Random,45.2418,500
1,Random,13.0224,270
2,Conservative,41.0514,500
3,ValueBuyer,42.8567,500
4,ValueBuyer,15.0863,353
5,ValueBuyer,20.9208,384
6,ValueBuyer,32.5387,500
7,ValueBuyer,17.7175,313
8,ValueBuyer,42.8786,500
9,Conservative,39.6722,500
10,ValueBuyer,33.2612,500
11,Conservative,20.1032,344
12,Conservative,40.2407,500
13,Conservative,20.2695,236
14,ValueBuyer,10.9504,205
15,Random,28.2184,487
16,ValueBuyer,12.2515,203
17,ValueBuyer,11.6266,261
18,Aggressive,82.7145,266
19,Conservative,16.4352,279
20,Aggressive,189.0943,467
21,ValueBuyer,38.7183,500
22,Conservative,33.4368,500
23,ValueBuyer,34.0539,500
24,Random,35.902,500
25,Conservative,14.0328,226
26,Conservative,25.4806,500
27,ValueBuyer,15.0093,202
28,Conservative,36.6136,500
29,Aggressive,60.5977,500
30,Conservative,35.7994,500
31,Aggressive,105.1022,363
32,Random,41.7803,500
33,ValueBuyer,26.7589,500
34,Conservative,38.761,500
35,Conservative,28.2931,500
36,Conservative,36.3422,500
37,Conservative,9.4512,358
38,Conservative,30.9023,251
39,Aggressive,72.8278,500
40,Random,12.4583,267
41,Aggressive,56.1725,282
42,Conservative,24.2539,335
43,Conservative,21.9318,500
44,ValueBuyer,15.6651,188
45,Aggressive,46.8561,500
46,ValueBuyer,41.7096,500
47,Conservative,15.1277,193
48,Conservative,40.5711,500
49,Conservative,36.8913,500
50,ValueBuyer,14.9646,301
51,Conservative,17.315,361
52,ValueBuyer,32.5388,500
53,Conservative,24.6436,402
54,Conservative,30.5046,500
55,ValueBuyer,7.996,185
56,Random,16.9291,368
57,Random,12.0398,246
58,Conservative,25.7241,500
59,Aggressive,48.7764,500
60,Conservative,17.6168,243
61,Conservative,18.113,500
62,ValueBuyer,16.2598,202
63,ValueBuyer,25.6602,412
64,ValueBuyer,34.251,500
65,ValueBuyer,13.8788,204
66,Conservative,20.637,500
67,ValueBuyer,47.4044,500
68,Conservative,33.0648,350
69,Conservative,27.9801,500
70,Conservative,21.1605,500
71,Conservative,20.0807,314
72,Conservative,27.9935,500
73,ValueBuyer,31.6481,500
74,Conservative,43.9932,500
75,Random,32.3688,500
76,Conservative,37.0532,500
77,ValueBuyer,18.4641,326
78,Aggressive,92.8161,500
79,Random,35.8388,500
80,Aggressive,120.8008,500
81,Conservative,36.8252,500
82,Conservative,19.0161,296
83,Conservative,14.7919,304
84,ValueBuyer,29.4053,500
85,Conservative,29.2465,500
86,ValueBuyer,16.0304,200
87,Conservative,32.2531,500
88,Conservative,23.6383,322
89,Aggressive,157.4445,325
90,Conservative,37.0862,500
91,ValueBuyer,17.1486,500
92,Conservative,49.8357,500
93,Random,10.52,177
94,ValueBuyer,39.7858,500
95,Random,19.8053,378
96,Conservative,28.5316,483
97,ValueBuyer,32.4655,500
98,Conservative,41.3928,500
99,Conservative,38.564,500
100,Conservative,26.2778,500
101,Conservative,32.541,500
102,Conservative,24.1261,260
103,ValueBuyer,16.4474,373
104,Conservative,19.2799,303
105,ValueBuyer,38.4997,500
106,Conservative,31.6675,500
107,Conservative,31.0329,500
108,Conservative,18.4038,353
109,Random,25.9543,500
110,Random,33.3465,500
111,Random,34.2803,500
112,ValueBuyer,42.1072,500
113,ValueBuyer,28.9154,500
114,Random,22.6144,399
115,Aggressive,50.9942,500
116,Aggressive,172.8316,500
117,ValueBuyer,7.0045,216
118,ValueBuyer,24.2748,500
119,ValueBuyer,13.3955,304
120,ValueBuyer,25.506,296
121,Conservative,21.9216,266
122,Conservative,31.0783,500
123,ValueBuyer,32.1245,500
124,ValueBuyer,14.2029,234
125,Conservative,42.3682,386
126,Conservative,47.489,500
127,ValueBuyer,32.2324,393
128,Random,27.7135,317
129,ValueBuyer,35.1732,418
130,Conservative,25.1272,437
131,Conservative,43.6331,500
132,Random,35.9411,500
133,ValueBuyer,18.3856,282
134,ValueBuyer,13.1406,214
135,Conservative,35.2282,500
