update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,0.0016,20.7588,0.6825,10.3803
2,buy,-0.0032,19.7115,0.6887,9.8519
3,improve,-0.0057,1728.9439,0.6073,864.4656
4,buy,-0.1566,18.5959,0.6909,9.1406
5,improve,0.0003,234.7095,0.6207,117.3545
6,buy,0.0082,15.6436,0.6894,7.8293
7,buy,0.0353,14.8296,0.6806,7.4494
8,buy,-0.0024,13.1352,0.6508,6.5646
9,improve,-0.0274,107.6111,0.6545,53.7775
10,buy,-0.0037,12.9707,0.6438,6.481
11,buy,-0.0116,11.8419,0.6701,5.9087
12,improve,-0.0343,291.933,0.6806,145.9315
13,buy,-0.0038,13.0646,0.6884,6.5278
14,improve,0.0793,469.8548,0.6741,235.006
15,buy,-0.0093,11.683,0.6807,5.8315
16,buy,-0.0028,19.9292,0.6544,9.9611
17,improve,0.0027,3366.3531,0.6815,1683.1786
18,buy,0.0102,7.9441,0.6342,3.9816
19,buy,-0.0269,10.5554,0.6487,5.2501
20,buy,0.0012,6.9156,0.6361,3.4584
21,buy,0.0014,71.8738,0.6544,35.9377
22,buy,0.0194,6.4743,0.664,3.2559
23,buy,0.0434,8.73,0.689,4.4077
24,buy,-0.0052,24.6213,0.691,12.3048
25,improve,-0.071,13.4313,0.6826,6.6439
26,buy,-0.0013,8.172,0.6907,4.084
27,buy,-0.0254,8.6678,0.6923,4.3079
28,improve,0.0236,558.812,0.6832,279.4289
29,buy,-0.0008,6.2779,0.6885,3.1375
30,buy,-0.0035,18.648,0.6839,9.3198
31,improve,-0.019,2245.6848,0.6835,1122.8227
32,buy,0.0032,7.4734,0.6827,3.7392
33,buy,-0.006,6.7759,0.645,3.3813
34,buy,0.0041,9.2933,0.6015,4.6501
35,improve,0.0342,607.6416,0.6834,303.8544
36,buy,0.0072,6.6453,0.5913,3.3292
37,improve,0.0345,605.5058,0.6831,302.7867
38,buy,-0.0058,7.3353,0.5863,3.6612
39,improve,-0.0195,1430.7537,0.6831,715.3566
40,buy,-0.0073,7.3008,0.5641,3.6426
41,improve,-0.0024,797.1921,0.6838,398.593
42,buy,-0.0167,69.7927,0.5518,34.8791
43,improve,-0.0006,2311.6225,0.6852,1155.8099
44,buy,-0.0117,5.853,0.549,2.9143
45,improve,-0.0008,463.7272,0.6858,231.8621
46,buy,0.0696,6.4496,0.5679,3.2938
47,improve,-0.0026,288.4756,0.6847,144.2345
48,buy,-0.0016,6.2598,0.5732,3.1277
49,buy,0.0079,3.8856,0.5402,1.9501
50,improve,-0.0086,129.1058,0.6827,64.5436
51,buy,0.0144,75.2627,0.5148,37.6453
52,improve,0.0022,240.3083,0.6792,120.1557
53,buy,0.0107,4.3828,0.5189,2.2015
54,improve,0.0078,380.3009,0.677,190.1575
55,buy,0.0554,5.2018,0.5264,2.6558
56,improve,-0.013,110.8153,0.6775,55.394
57,buy,0.0478,5.1546,0.4958,2.6246
58,improve,-0.0102,831.6178,0.6783,415.798
59,buy,-0.0396,6.3256,0.4821,3.1227
60,improve,-0.0021,1934.0205,0.6793,967.0075
61,buy,-0.0259,3.4226,0.4593,1.685
62,improve,-0.0033,1759.6628,0.6799,879.8274
63,buy,0.035,4.717,0.3579,2.3931
64,improve,0.0307,569.5372,0.68,284.7986
65,buy,0.0064,13.4095,0.3133,6.7108
66,improve,-0.0035,1334.9531,0.6802,667.4723
67,improve,0.0,1675.7683,0.6804,837.8835
68,buy,-0.0088,7.5627,0.3025,3.7722
69,improve,-0.0055,965.3161,0.6799,482.6518
70,buy,0.0096,3.9212,0.2887,1.9699
71,improve,0.017,1468.4089,0.679,734.2208
72,buy,-0.0707,5.0411,0.2841,2.4495
73,improve,0.0059,1643.5404,0.6779,821.7754
74,buy,0.0064,6.5916,0.2832,3.302
75,improve,0.0663,95.2088,0.6773,47.67
76,buy,0.0068,9.6584,0.2889,4.8357
77,improve,0.0055,5660.0887,0.6781,2830.0492
78,buy,0.0109,7.9647,0.298,3.9929
79,improve,0.0076,591.4526,0.678,295.7332
80,buy,0.0021,3.466,0.3,1.7348
81,improve,0.1233,94.3284,0.6805,47.2869
82,buy,0.0055,6.4194,0.2847,3.2149
83,improve,-0.0379,707.4071,0.6898,353.6649
84,buy,0.0114,3.2689,0.2643,1.6456
85,improve,-0.0144,2750.5981,0.6771,1375.284
86,buy,0.0174,1.6785,0.2192,0.8564
87,buy,0.0026,1.7074,0.2135,0.8561
88,improve,-0.0082,3.4164,0.671,1.6993
89,buy,0.0098,1.3393,0.2546,0.6791
90,improve,0.0083,564.3061,0.6701,282.1607
91,buy,0.0113,1.6255,0.292,0.8238
92,improve,0.0017,52.1469,0.6707,26.0745
93,buy,-0.0018,1.443,0.3242,0.7193
94,improve,-0.0031,226.0167,0.6694,113.0046
95,buy,-0.0095,1.9916,0.3284,0.9859
96,improve,-0.0163,2420.9626,0.6672,1210.4644
97,improve,0.0717,710.3009,0.6654,355.2215
98,buy,-0.0216,0.6852,0.2831,0.3207
99,improve,0.0042,987.3711,0.6639,493.6891
100,buy,0.029,1.3643,0.2429,0.7109
101,improve,0.0003,253.3592,0.664,126.6792
102,buy,-0.0028,5.5146,0.2389,2.7542
103,improve,-0.3134,530.9285,0.6658,265.1502
104,buy,0.0119,1.5727,0.2362,0.798
105,improve,-0.0513,451.1986,0.6659,225.5474
106,buy,-0.0001,46.8369,0.2354,23.4181
107,improve,-0.0023,956.9222,0.6637,478.4582
108,improve,-0.0018,1566.46,0.6625,783.2276
109,improve,-0.0169,411.2148,0.6634,205.5899
110,buy,0.0002,1.2547,0.2394,0.6273
111,improve,0.0364,659.6827,0.6659,329.8771
112,buy,0.0006,0.3447,0.2193,0.1728
113,buy,-0.0244,0.1065,0.1879,0.0287
114,improve,-0.0001,1765.1378,0.6674,882.5682
115,buy,-0.0742,0.406,0.1646,0.1286
116,improve,0.0035,154.8576,0.668,77.4317
117,buy,-0.0038,0.3507,0.1391,0.1715
118,improve,-0.0004,777.8217,0.668,388.9098
119,buy,-0.0484,0.2484,0.1058,0.0757
120,improve,0.0092,12.8497,0.6672,6.4334
121,improve,-0.0166,3406.7511,0.6652,1703.3583
122,buy,-0.0217,0.0848,0.0872,0.0206
123,improve,-0.0088,354.9761,0.6636,177.4786
124,buy,0.0353,0.232,0.0588,0.1512
125,improve,0.008,1.0761,0.6598,0.5454
126,buy,-0.0088,1.8719,0.0522,0.9271
127,improve,0.0011,2082.64,0.6463,1041.3205
128,buy,0.0212,1.1749,0.0541,0.6086
129,improve,0.0001,1671.4889,0.6389,835.7439
130,improve,0.0004,2386.4478,0.637,1193.2237
131,buy,-0.0077,1.1892,0.0602,0.5868
132,improve,0.0123,1764.047,0.6373,882.0352
133,buy,0.0195,0.0682,0.0622,0.0535
134,improve,0.032,461.137,0.6383,230.5998
135,buy,0.015,1.5718,0.0623,0.8008
136,improve,-0.0052,123.789,0.6427,61.8886
137,buy,-0.0181,0.2575,0.0711,0.1106
138,improve,-0.0013,174.4247,0.6485,87.2103
139,buy,0.0354,0.0997,0.0823,0.0851
140,improve,0.002,593.2511,0.6517,296.6269
141,buy,0.0119,0.404,0.0781,0.2138
142,improve,0.0011,1268.7374,0.6547,634.3692
143,buy,0.0281,0.654,0.0665,0.355
144,improve,-0.0054,1022.6228,0.6558,511.3054
145,buy,0.0116,0.1084,0.0595,0.0657
146,improve,0.011,1698.0469,0.6541,849.0338
147,buy,-0.0323,6.4985,0.0509,3.2169
148,improve,0.0078,3600.9125,0.6526,1800.4633
149,buy,0.0024,2.9324,0.0453,1.4686
150,improve,0.0237,6793.5384,0.6523,3396.7923
151,buy,0.0054,0.509,0.0394,0.2598
152,improve,0.0132,1397.4251,0.6527,698.7251
153,buy,-0.0039,0.7228,0.0365,0.3575
154,improve,-0.0069,3464.6548,0.6529,1732.3198
155,buy,0.0301,4.0848,0.0354,2.0725
156,improve,0.0005,3445.1156,0.6533,1722.5577
157,buy,-0.0059,1.3027,0.0358,0.6455
158,improve,-0.0963,47.9685,0.6556,23.8872
159,buy,-0.0068,0.408,0.0359,0.1971
160,improve,0.0041,702.6053,0.6656,351.3061
161,buy,-0.0041,9.114,0.0354,4.5529
162,improve,0.1097,1339.1497,0.6726,669.6839
163,improve,0.0101,617.1599,0.6734,308.5894
164,improve,0.0211,1101.5329,0.6739,550.7869
165,buy,-0.0486,0.3778,0.0338,0.1402
166,improve,0.0094,1381.2067,0.6746,690.6121
167,buy,-0.0,22.0659,0.0328,11.0329
168,improve,0.0476,1323.8341,0.6742,661.964
169,buy,-0.0003,0.5986,0.0323,0.2989
170,improve,-0.0011,487.8345,0.6729,243.9155
171,buy,0.0481,0.3394,0.0303,0.2178
172,improve,0.0046,364.8752,0.6716,182.4415
173,buy,-0.0137,0.5967,0.0288,0.2846
174,improve,0.0041,422.8871,0.6715,211.447
175,buy,0.0146,10.6744,0.0281,5.3517
176,improve,-0.0041,1043.3357,0.6708,521.6631
177,buy,0.0445,2.3158,0.0278,1.2024
178,improve,0.0045,519.9572,0.6701,259.9825
179,improve,-0.0015,1016.139,0.6676,508.0673
180,buy,-0.1221,1.1283,0.0278,0.4421
181,improve,-0.0074,1530.1386,0.6669,765.0612
182,buy,-0.0359,0.8993,0.0278,0.4138
183,improve,0.008,0.281,0.6822,0.1479
184,buy,0.0,0.668,0.0277,0.334
185,improve,0.0119,556.6907,0.6852,278.3566
186,buy,0.0035,0.9285,0.028,0.4677
187,improve,-0.0135,808.6718,0.6796,404.3217
188,buy,0.0203,25.3629,0.029,12.7017
189,improve,-0.0419,571.083,0.6758,285.4989
190,buy,-0.0021,2.3459,0.0281,1.1708
191,improve,0.0165,421.9882,0.6749,211.0099
192,buy,0.0069,0.7834,0.0233,0.3985
193,improve,0.076,173.0039,0.6765,86.5773
194,buy,0.0001,0.6782,0.0194,0.3391
195,improve,-0.0033,522.4384,0.6774,261.2152
196,buy,0.0554,0.9332,0.0173,0.522
197,improve,0.0015,891.6254,0.6773,445.8136
198,buy,0.0053,0.6156,0.0165,0.3131
199,improve,0.0113,1229.3842,0.6771,614.7028
200,buy,0.0009,1.1982,0.0163,0.6
201,improve,0.0372,1.0104,0.6823,0.5418
202,buy,0.0103,0.425,0.0163,0.2228
203,improve,-0.0031,1555.4537,0.6926,777.7231
204,buy,0.0086,7.6691,0.0162,3.8432
205,improve,-0.0299,3112.1199,0.6908,1556.0294
206,buy,0.0026,0.8444,0.0162,0.4247
207,improve,-0.0291,1695.3119,0.6885,847.6261
208,buy,0.0055,1.1889,0.0162,0.5999
209,improve,-0.066,393.7481,0.6877,196.8073
210,buy,-0.0,1.2521,0.0162,0.626
211,improve,-0.0064,115.5252,0.6901,57.7555
212,buy,-0.0,1.1356,0.016,0.5677
213,improve,-0.0093,461.154,0.6929,230.5671
214,buy,0.0092,8.2455,0.0155,4.1319
215,improve,0.0029,3294.8115,0.6928,1647.4079
216,buy,-0.0126,2.5951,0.0147,1.2849
217,improve,-0.0114,813.6724,0.6924,406.8241
218,buy,-0.0012,0.8617,0.0125,0.4297
219,improve,-0.0357,159.2067,0.6922,79.567
220,buy,-0.0424,1.5019,0.0113,0.7085
221,improve,0.003,564.6103,0.6901,282.3074
222,buy,-0.0051,1.6004,0.0109,0.795
223,improve,-0.02,2106.7345,0.688,1053.3465
224,buy,-0.0165,1.1839,0.0108,0.5755
225,improve,-0.0161,11349.5579,0.6871,5674.7621
226,buy,0.0184,1.3491,0.0103,0.6929
227,improve,-0.0033,2788.5815,0.6869,1394.2867
228,buy,-0.0036,0.5817,0.0092,0.2872
229,improve,-0.0182,405.1507,0.6872,202.5565
