episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.12,35.9975,395.52
50-99,0.26,45.3537,394.3
100-149,0.26,47.3987,391.42
150-199,0.14,45.2984,379.62
200-249,0.12,35.0326,413.9
250-299,0.18,51.031,392.64
300-349,0.32,47.6744,400.02
350-399,0.2,52.0465,401.9
400-449,0.32,50.2919,401.02
450-499,0.24,50.3409,407.68
500-549,0.34,51.3686,411.18
550-599,0.38,48.9869,415.86
600-649,0.32,44.1105,409.4
650-699,0.32,51.6478,385.32
700-749,0.32,68.4284,412.6
750-799,0.3,52.24,372.0
800-849,0.22,57.6239,391.46
850-899,0.34,45.7519,412.5
900-949,0.28,50.1539,393.42
950-999,0.52,61.423,408.66
1000-1049,0.3,68.3471,420.88
1050-1099,0.3,43.9633,397.36
1100-1149,0.36,75.1287,412.2
1150-1199,0.4,50.0644,409.1
1200-1249,0.26,49.9016,375.92
1250-1299,0.38,58.1508,439.14
1300-1349,0.32,54.1204,386.6
1350-1399,0.42,63.1191,405.24
1400-1449,0.22,39.8463,368.26
1450-1499,0.2,45.2939,376.32
