episode,winner,ppo_agent_reward,episode_length
0,ValueBuyer,24.2608,500
1,Aggressive,7.956,114
2,ValueBuyer,17.8596,223
3,ValueBuyer,41.4135,500
4,Aggressive,8.1875,128
5,Conservative,75.2592,500
6,ValueBuyer,12.5182,179
7,Aggressive,8.4431,165
8,Aggressive,35.1777,500
9,Aggressive,17.2863,218
10,Random,37.3784,500
11,Aggressive,43.042,500
12,Conservative,53.6988,500
13,Aggressive,51.9361,500
14,Conservative,149.8089,500
15,Aggressive,17.2111,500
16,ValueBuyer,35.7261,500
17,ValueBuyer,19.6179,230
18,Aggressive,27.8847,500
19,ValueBuyer,24.7438,312
20,Random,19.2644,320
21,Conservative,50.2311,500
22,Aggressive,42.9187,500
23,ValueBuyer,38.8971,500
24,Aggressive,43.5205,500
25,Aggressive,15.8518,239
26,Random,38.0318,500
27,ValueBuyer,9.0238,129
28,ValueBuyer,39.4848,500
29,ValueBuyer,9.7448,152
30,Aggressive,157.4048,500
31,ValueBuyer,25.3426,500
32,Aggressive,23.2355,273
33,Aggressive,32.0337,500
34,Aggressive,42.0395,500
35,Aggressive,45.8931,500
36,Aggressive,44.6275,500
37,ValueBuyer,21.1991,271
38,Conservative,76.5053,500
39,Aggressive,41.9059,500
40,ValueBuyer,33.9261,370
41,ValueBuyer,15.4986,281
42,Aggressive,20.9979,306
43,Conservative,65.825,500
44,Random,18.2847,500
45,Aggressive,12.0041,155
46,Aggressive,16.5924,211
47,Aggressive,23.8489,500
48,Random,34.1981,500
49,Random,32.1347,500
50,Conservative,49.3188,500
51,Aggressive,38.4843,500
52,Conservative,151.211,500
53,Aggressive,12.0022,121
54,Conservative,50.2387,170
55,Aggressive,25.7769,309
56,Aggressive,20.4928,248
57,ValueBuyer,18.9106,297
58,Conservative,167.6949,248
59,Aggressive,37.7806,500
60,ValueBuyer,9.4626,183
61,Aggressive,21.489,365
62,Aggressive,21.3613,363
63,ValueBuyer,4.0891,83
64,Conservative,156.8314,280
65,Conservative,68.029,500
66,Aggressive,33.4556,500
67,Aggressive,29.5282,449
68,Aggressive,42.0145,500
69,Aggressive,26.0076,500
70,ValueBuyer,35.4258,500
71,ValueBuyer,15.4013,216
72,Aggressive,37.1393,500
73,ValueBuyer,8.9662,155
74,ValueBuyer,13.9737,255
75,Aggressive,45.9124,500
76,ValueBuyer,36.1855,500
77,ValueBuyer,37.4096,500
78,Aggressive,34.3833,500
79,Aggressive,53.7987,500
80,Aggressive,44.7332,385
81,Conservative,54.8598,500
82,Conservative,42.5163,500
83,Aggressive,12.5143,500
84,Aggressive,36.5599,500
85,Aggressive,37.847,500
86,Aggressive,25.5292,279
87,Conservative,72.0832,294
88,Conservative,66.6507,500
89,ValueBuyer,9.5404,208
90,ValueBuyer,40.3561,500
91,Aggressive,43.7211,500
92,Aggressive,35.8178,500
93,ValueBuyer,8.6866,332
94,Aggressive,44.6854,500
95,ValueBuyer,40.1649,500
96,Conservative,217.1935,483
97,Conservative,66.3518,215
98,Aggressive,19.7974,277
99,Conservative,45.3014,500
100,Aggressive,14.2776,234
101,Aggressive,38.3834,500
102,Aggressive,20.4434,358
103,Conservative,209.9974,273
104,Aggressive,42.4341,500
105,Aggressive,17.4727,252
106,Random,35.1081,500
107,Aggressive,17.606,229
108,Aggressive,11.982,208
109,Conservative,64.7455,500
110,ValueBuyer,37.1334,500
111,Conservative,162.6223,500
112,Aggressive,30.3962,500
113,Random,34.2726,500
114,Aggressive,34.8426,500
115,Aggressive,47.3636,500
116,Aggressive,11.4288,151
117,Conservative,52.9441,500
118,Aggressive,22.006,249
119,Aggressive,44.0961,500
120,Aggressive,38.7941,500
121,Conservative,69.9741,500
122,Conservative,61.2204,500
123,Aggressive,42.9731,500
124,Conservative,68.9523,500
125,Conservative,54.9815,500
126,ValueBuyer,29.3571,268
127,ValueBuyer,25.6146,326
128,Random,7.4579,114
129,ValueBuyer,23.022,368
130,Aggressive,31.1676,455
