update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0718,26.9081,0.6878,13.3816
2,buy,-0.0303,24.2073,0.6816,12.0727
3,improve,-0.0239,141.2134,0.5745,70.5822
4,buy,-0.0104,24.0408,0.6781,12.0094
5,improve,0.0277,185.4306,0.6108,92.7423
6,buy,0.0004,22.1244,0.6803,11.0619
7,improve,0.0014,408.8314,0.5475,204.4165
8,buy,0.0027,35.9619,0.6824,17.9829
9,improve,0.1125,1703.003,0.6122,851.6134
10,buy,-0.0203,19.185,0.6648,9.5715
11,buy,-0.0148,20.1068,0.6344,10.038
12,improve,-0.0221,198.9136,0.6449,99.4341
13,buy,-0.0099,17.5435,0.6489,8.7612
14,improve,0.0064,2441.9411,0.6304,1220.9764
15,buy,0.012,13.4812,0.6701,6.7519
16,improve,-0.0468,819.0062,0.661,409.4556
17,buy,0.0011,15.0587,0.6405,7.5299
18,improve,-0.0108,12.0352,0.644,6.0062
19,buy,0.0024,14.063,0.5887,7.0333
20,buy,0.0033,24.3407,0.5742,12.1731
21,improve,-0.0787,2105.3982,0.5944,1052.6198
22,buy,0.093,14.9233,0.5908,7.5541
23,improve,-0.0083,57.2762,0.568,28.6292
24,buy,0.003,14.855,0.6323,7.4299
25,improve,-0.0106,4349.817,0.5562,2174.8973
26,buy,-0.0067,10.7776,0.668,5.3815
27,improve,-0.0148,2767.2552,0.5557,1383.6122
28,buy,-0.0009,6.9857,0.6869,3.4913
29,buy,-0.0004,8.1291,0.6906,4.0635
30,buy,0.0004,9.7556,0.6871,4.8775
31,improve,-0.0007,142.2328,0.5601,71.1151
32,buy,0.0017,8.161,0.6827,4.0815
33,buy,-0.0033,10.5655,0.6672,5.2788
34,improve,0.0311,15765.9141,0.5674,7882.9876
35,buy,-0.0013,6.9698,0.6555,3.4829
36,buy,-0.0018,7.2654,0.6308,3.6303
37,improve,-0.0174,11.0089,0.579,5.4865
38,buy,0.0076,11.9312,0.6063,5.9726
39,improve,-0.0019,1034.3782,0.6167,517.1866
40,buy,-0.0016,7.6142,0.5361,3.8049
41,improve,0.0078,2990.4699,0.6335,1495.2421
42,buy,0.0767,11.2634,0.4823,5.7079
43,improve,0.002,1414.5776,0.6384,707.2902
44,buy,0.0009,6.4361,0.4465,3.2185
45,improve,-0.0008,944.5193,0.6384,472.2582
46,buy,-0.0123,6.3109,0.409,3.1427
47,improve,-0.018,110.0814,0.6337,55.0221
48,buy,0.0089,7.4561,0.3495,3.7366
49,improve,-0.0129,1819.8133,0.6241,909.8931
50,buy,-0.0034,7.3652,0.3472,3.6788
51,improve,-0.0102,17.4956,0.6108,8.7369
52,buy,-0.1876,9.636,0.3659,4.63
53,improve,-0.001,2065.5516,0.6002,1032.7742
54,buy,-0.0507,5.1579,0.3285,2.5279
55,improve,0.0,921.6777,0.5933,460.8383
56,improve,-0.0288,4501.7743,0.5952,2250.8578
57,buy,0.0039,4.8923,0.2847,2.4498
58,improve,-0.0265,14.7644,0.584,7.3551
59,buy,0.0195,4.3014,0.2588,2.1699
60,improve,0.0524,46.5902,0.5465,23.3469
61,buy,0.002,4.7623,0.2367,2.3829
62,improve,0.0587,1171.0551,0.5324,585.5857
63,buy,0.1102,4.207,0.2181,2.2134
64,improve,-0.0022,8.601,0.5291,4.2978
65,buy,-0.0045,4.24,0.2022,2.1153
66,improve,0.0031,41.3632,0.5212,20.6842
67,buy,0.0002,5.6632,0.1908,2.8316
68,improve,-0.0003,1140.2399,0.5238,570.1191
69,buy,-0.0188,4.1325,0.1813,2.0473
70,improve,-0.0249,6416.9094,0.527,3208.4293
71,buy,0.0039,6.1117,0.1662,3.0596
72,improve,-0.0208,693.3554,0.5297,346.6563
73,buy,0.0069,3.8469,0.1617,1.9302
74,improve,0.041,67.1399,0.5317,33.6105
75,buy,-0.0202,3.9725,0.1589,1.966
76,improve,-0.0051,16.1575,0.5188,8.0731
77,buy,-0.0036,3.4687,0.1566,1.7306
78,improve,-0.0172,406.586,0.4973,203.2753
79,improve,0.0524,40.6055,0.5258,20.3547
80,improve,-0.0231,5.5818,0.5424,2.7673
81,buy,-0.0037,10.7933,0.1506,5.3928
82,improve,-0.0235,85.4989,0.5004,42.7254
83,buy,0.0132,2.4279,0.1451,1.227
84,improve,-0.0062,3.0942,0.4926,1.5404
85,buy,0.0067,2.0223,0.1485,1.0176
86,improve,-0.0148,61.6052,0.5481,30.7873
87,buy,0.0004,1.191,0.1563,0.5957
88,improve,0.0002,42.1801,0.574,21.0896
89,buy,-0.0017,1.5521,0.1483,0.7742
90,improve,0.0175,9.518,0.5896,4.7759
91,buy,-0.0393,1.1227,0.1474,0.5219
92,improve,0.0136,361.7518,0.606,180.8889
93,buy,0.0056,1.5521,0.137,0.7815
94,improve,-0.0027,45.0633,0.6039,22.5284
95,buy,0.001,1.717,0.1255,0.8593
96,improve,-0.0233,222.9929,0.5928,111.4725
97,buy,0.0155,0.9809,0.1153,0.5058
98,improve,0.0426,780.0812,0.558,390.0827
99,improve,-0.0002,9.8945,0.5505,4.9465
100,buy,0.0121,1.1395,0.1099,0.5817
101,improve,0.0018,863.9524,0.5557,431.9775
102,buy,0.012,2.9243,0.1003,1.4741
103,improve,0.0067,1845.4943,0.5621,922.7533
104,buy,-0.0083,0.3451,0.094,0.1642
105,improve,0.0181,1675.9971,0.5644,838.0161
106,buy,-0.0007,15.9243,0.0906,7.9614
107,improve,-0.0571,2857.5608,0.5735,1428.7227
108,improve,0.0153,2446.8439,0.5921,1223.4367
109,buy,0.0112,0.3302,0.0892,0.1762
110,improve,-0.0032,1140.2071,0.5996,570.0998
111,buy,0.022,1.1918,0.0903,0.6178
112,improve,0.0001,578.4101,0.6058,289.2045
113,buy,0.0479,0.998,0.0924,0.5468
114,improve,-0.0089,5514.4532,0.6079,2757.2171
115,buy,0.0581,0.8101,0.0942,0.4631
116,improve,0.0001,2500.3435,0.6084,1250.1712
117,buy,-0.0069,0.1966,0.0868,0.0913
118,improve,-0.0053,121.5003,0.612,60.7443
119,buy,0.0053,0.5363,0.0675,0.2734
120,improve,-0.0832,566.7174,0.6301,283.2748
121,buy,-0.0032,1.0713,0.062,0.5324
122,improve,-0.0787,1136.1993,0.6457,568.0203
123,buy,-0.002,0.6432,0.0599,0.3195
124,improve,0.0149,1756.1083,0.6474,878.0685
125,improve,0.0007,3117.8943,0.6448,1558.9472
126,buy,-0.0043,0.0961,0.0563,0.0437
127,improve,0.2173,2013.0732,0.6351,1006.7532
128,buy,-0.001,0.4804,0.0426,0.2391
129,improve,-0.0071,550.15,0.6045,275.0673
130,improve,0.0382,2297.6791,0.5945,1148.8772
131,buy,-0.0001,0.0509,0.0353,0.0253
132,improve,-0.0016,406.0925,0.6154,203.044
133,buy,0.0009,0.0706,0.0326,0.0362
134,improve,-0.0007,1205.022,0.6231,602.5097
135,buy,0.017,1.5563,0.0315,0.7951
136,improve,-0.0027,147.5275,0.6296,73.7604
137,buy,-0.0016,0.0441,0.0284,0.0204
138,buy,0.0187,0.0941,0.0215,0.0657
139,improve,-0.0026,74.7046,0.6359,37.349
140,buy,0.0119,0.0715,0.0189,0.0476
141,improve,-0.004,857.2566,0.6317,428.6237
142,buy,-0.1101,0.1765,0.018,-0.0218
143,improve,-0.0008,1922.9762,0.6262,961.4866
144,buy,-0.0125,0.1356,0.0176,0.0552
145,improve,-0.0071,1111.8422,0.623,555.9134
146,buy,0.0141,0.2698,0.0174,0.149
147,improve,-0.0046,325.1246,0.6212,162.557
148,buy,-0.0208,0.308,0.0174,0.1331
149,improve,-0.0031,124.2744,0.6142,62.1335
150,buy,-0.0146,0.2156,0.0174,0.0932
151,improve,0.0007,4.4724,0.5621,2.2363
152,buy,0.023,0.4034,0.0174,0.2247
153,improve,-0.0079,221.6517,0.5217,110.8174
154,improve,0.0119,1070.0729,0.5272,535.0478
155,buy,0.0441,0.1993,0.0174,0.1438
156,improve,0.0013,0.8043,0.5303,0.4029
157,improve,0.0846,133.0764,0.5588,66.6222
158,buy,-0.006,0.1705,0.0175,0.0793
159,improve,0.0073,807.9496,0.5949,403.9815
160,buy,0.0176,0.1596,0.0175,0.0974
161,improve,-0.0062,65.7543,0.6013,32.8703
162,buy,0.0006,0.1582,0.0174,0.0797
163,improve,-0.0025,18714.7152,0.5882,9357.3546
164,improve,0.0068,3591.9261,0.5771,1795.9693
165,buy,-0.0225,0.2559,0.0173,0.1055
166,improve,-0.0028,0.8559,0.5416,0.4246
167,buy,0.0275,0.4074,0.0172,0.2312
168,improve,0.0129,793.0935,0.4434,396.5592
169,buy,-0.0367,0.1584,0.0171,0.0425
170,improve,0.0069,4.7632,0.4145,2.3881
171,buy,0.0046,0.2701,0.0169,0.1396
172,improve,0.0168,8.2254,0.4284,4.129
173,buy,0.027,0.2213,0.0169,0.1377
174,improve,-0.0041,180.8694,0.4442,90.4302
175,buy,0.0254,0.3446,0.0172,0.1977
176,improve,-0.005,268.3441,0.4522,134.1666
177,buy,0.0032,0.5189,0.0174,0.2626
178,improve,0.0036,4.1522,0.4504,2.0792
179,improve,0.0058,2725.1892,0.444,1362.5999
180,improve,-0.0352,2167.1098,0.4441,1083.5192
181,improve,-0.0111,1292.8495,0.4413,646.4132
182,buy,-0.2673,0.0614,0.0175,-0.2366
183,improve,-0.0056,8.2813,0.4173,4.1346
184,buy,-0.0623,0.35,0.0173,0.1127
185,improve,0.0055,687.4043,0.356,343.7073
186,buy,-0.0179,0.2763,0.0172,0.1203
187,improve,0.0005,164.2671,0.3313,82.1337
188,buy,0.0032,0.2474,0.017,0.1269
189,improve,0.1888,1241.9959,0.3699,621.1864
190,improve,0.0069,342.4863,0.5546,171.2495
191,buy,-0.0024,1.2391,0.0174,0.6171
192,improve,0.0998,485.0541,0.6097,242.6263
193,buy,0.1113,0.3064,0.0193,0.2645
194,improve,0.0053,456.6204,0.6197,228.3149
195,buy,0.0022,0.3315,0.0245,0.1679
196,improve,-0.0081,3.2405,0.6246,1.6115
197,buy,-0.0062,0.4296,0.0271,0.2086
198,improve,0.027,0.1583,0.6365,0.1055
199,buy,0.0061,0.529,0.0279,0.2706
200,improve,-0.0088,1335.1023,0.654,667.5417
201,buy,-0.0,1.156,0.0281,0.578
202,improve,-0.0022,3115.1096,0.6596,1557.5519
203,buy,0.0576,0.8801,0.0281,0.4976
204,improve,-0.008,1480.1092,0.6608,740.046
205,buy,0.0126,0.3116,0.028,0.1684
206,improve,-0.0143,1290.7255,0.6613,645.3477
207,buy,0.0076,2.8294,0.0281,1.4223
208,improve,0.0021,2697.7808,0.661,1348.8918
209,buy,-0.0005,0.3411,0.0283,0.17
210,improve,0.2593,1266.1393,0.6602,633.3283
211,buy,0.0177,0.7081,0.0284,0.3717
212,improve,0.0033,1.5047,0.6529,0.755
213,buy,0.0179,0.6774,0.0284,0.3565
214,improve,-0.0041,5615.1098,0.6681,2807.5501
215,buy,0.2404,0.2942,0.0285,0.3875
216,improve,-0.0006,407.4199,0.6771,203.7087
217,improve,0.0601,3606.5275,0.6746,1803.3232
218,buy,-0.0037,0.6736,0.0286,0.3331
219,improve,0.0301,621.1943,0.6574,310.6266
220,buy,-0.0039,3.091,0.0287,1.5416
221,improve,-0.002,1071.0229,0.6522,535.5088
222,buy,0.0057,0.5781,0.0287,0.2947
223,improve,0.0234,314.1076,0.6513,157.0766
224,buy,-0.0013,1.1233,0.0287,0.5603
225,improve,0.0,3442.7856,0.6506,1721.3921
226,buy,0.3156,1.0948,0.0288,0.8629
227,improve,-0.0001,363.6179,0.6498,181.8082
228,buy,-0.06,0.3988,0.0292,0.1394
229,improve,-0.0034,371.394,0.6499,185.6929
