episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.1,28.6869,433.14
50-99,0.12,37.4551,427.4
100-149,0.14,37.9172,415.04
150-199,0.22,45.3282,392.08
200-249,0.26,61.2353,393.3
250-299,0.08,32.6303,414.84
300-349,0.18,43.9235,401.2
350-399,0.24,53.1845,434.86
400-449,0.22,50.5674,409.0
450-499,0.22,40.4405,438.96
500-549,0.26,51.9933,430.5
550-599,0.3,51.2965,412.44
600-649,0.1,36.3392,428.84
650-699,0.2,39.3818,441.7
700-749,0.12,37.5778,439.94
750-799,0.1,31.2883,415.86
800-849,0.18,41.1037,426.7
850-899,0.22,39.5443,427.28
900-949,0.08,38.174,427.92
950-999,0.16,32.6548,424.04
1000-1049,0.1,34.6378,444.0
1050-1099,0.1,30.5444,407.22
1100-1149,0.14,30.5018,399.18
1150-1199,0.2,33.1201,442.78
1200-1249,0.14,33.2746,409.84
1250-1299,0.12,39.2493,468.36
1300-1349,0.16,38.8359,429.52
1350-1399,0.16,41.9487,421.86
1400-1449,0.18,37.6654,424.5
1450-1499,0.16,36.7552,429.72
