episode,winner,ppo_agent_reward,episode_length
0,ValueBuyer,16.3099,455
1,Aggressive,41.5,500
2,Aggressive,19.6993,275
3,Random,47.5287,500
4,Conservative,28.0422,500
5,Conservative,14.8837,423
6,ValueBuyer,36.6464,500
7,Conservative,24.8677,500
8,Aggressive,30.7985,500
9,Conservative,35.4703,500
10,Conservative,21.3138,500
11,ValueBuyer,29.5107,500
12,Conservative,30.9254,500
13,Conservative,34.8705,500
14,Conservative,26.7817,500
15,Aggressive,9.4608,356
16,Conservative,40.0744,500
17,Conservative,15.4422,369
18,Aggressive,33.0907,500
19,Conservative,44.0047,500
20,Aggressive,11.1412,219
21,Conservative,27.7066,500
22,ValueBuyer,32.9792,500
23,Conservative,40.1306,500
24,Random,57.8537,500
25,Aggressive,46.9764,500
26,Conservative,28.3812,500
27,ValueBuyer,15.7971,183
28,Conservative,27.8333,349
29,Aggressive,29.5372,500
30,Conservative,27.6582,500
31,Conservative,22.4219,500
32,Aggressive,34.504,500
33,Random,47.4722,500
34,Aggressive,30.9736,500
35,Aggressive,10.3597,170
36,Aggressive,26.9426,292
37,Aggressive,13.3391,282
38,Conservative,20.4256,500
39,ValueBuyer,14.176,336
40,Conservative,18.312,368
41,ValueBuyer,7.1223,174
42,Random,49.2757,500
43,ValueBuyer,25.8182,500
44,Aggressive,13.9597,302
45,ValueBuyer,15.9021,216
46,Conservative,36.2544,500
47,Conservative,25.604,388
48,Random,51.1898,500
49,Aggressive,43.0739,500
50,Aggressive,40.101,500
51,Conservative,60.1369,500
52,ValueBuyer,22.5352,500
53,Conservative,24.1756,294
54,Conservative,48.8977,500
55,ValueBuyer,11.3096,432
56,Aggressive,30.1303,500
57,Aggressive,45.8097,500
58,Random,166.346,357
59,ValueBuyer,19.0546,216
60,Conservative,22.87,500
61,Conservative,24.4123,500
62,ValueBuyer,34.3655,500
63,Conservative,25.1057,289
64,Aggressive,32.3381,500
65,Aggressive,34.6957,500
66,ValueBuyer,34.7355,500
67,Aggressive,34.3583,500
68,Random,54.3463,500
69,ValueBuyer,21.4036,245
70,Aggressive,19.5053,323
71,Conservative,31.1997,500
72,ValueBuyer,14.2877,308
73,Aggressive,34.8668,500
74,Conservative,37.7201,500
75,Random,45.9838,500
76,ValueBuyer,8.7381,203
77,Conservative,38.3458,500
78,Random,219.4523,500
79,ValueBuyer,11.1608,176
80,Conservative,38.3228,500
81,Random,36.2227,500
82,Conservative,31.2103,500
83,Conservative,47.0979,500
84,ValueBuyer,35.5723,500
85,Conservative,35.2089,500
86,ValueBuyer,36.3025,500
87,Conservative,30.819,500
88,ValueBuyer,8.4405,130
89,ValueBuyer,40.8015,500
90,ValueBuyer,15.8096,185
91,Aggressive,12.0724,264
92,Aggressive,28.9909,500
93,Conservative,23.4561,256
94,Aggressive,27.8032,500
95,Random,51.8609,500
96,Aggressive,37.452,500
97,Aggressive,36.2711,500
98,Aggressive,4.3612,192
99,Aggressive,46.2925,500
100,Aggressive,15.1171,253
101,ValueBuyer,35.0266,500
102,Conservative,16.4743,215
103,Aggressive,38.3096,500
104,Aggressive,42.5532,500
105,ValueBuyer,33.9248,500
106,Conservative,42.4122,500
107,Aggressive,34.518,500
108,Aggressive,13.0776,222
109,Random,55.048,500
110,Aggressive,38.6448,500
111,Conservative,22.9149,500
112,Conservative,41.9076,500
113,Aggressive,35.7689,500
114,Aggressive,41.7075,500
115,Aggressive,9.3123,231
116,Conservative,6.7407,321
117,Random,138.998,355
118,Aggressive,34.9046,500
119,Conservative,12.7912,211
120,ValueBuyer,13.4549,146
121,Random,261.8798,386
122,Aggressive,35.5764,500
123,ValueBuyer,34.8977,500
124,Conservative,20.8021,476
125,Conservative,41.1805,500
126,ValueBuyer,12.8265,252
127,Random,56.2381,500
128,Random,42.7057,500
129,Aggressive,33.4915,500
130,Conservative,50.1275,500
131,Conservative,43.9986,500
132,Conservative,43.5178,500
133,Aggressive,31.1869,500
134,ValueBuyer,10.5539,214
135,ValueBuyer,14.3265,266
136,Aggressive,24.3322,500
137,Aggressive,10.854,192
138,Random,50.1346,500
139,Aggressive,8.5947,208
140,Conservative,18.9655,263
141,Conservative,34.4119,500
142,Aggressive,11.6698,191
143,Aggressive,16.9526,500
144,Aggressive,48.7169,500
