update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0141,19.4063,0.6859,0.3543
2,buy,-0.0106,19.3808,0.6822,0.3867
3,buy,-0.041,20.3545,0.6392,0.1474
4,buy,0.0,19.4015,0.6128,0.4806
5,buy,0.0101,18.1031,0.6327,0.5408
6,buy,-0.0091,18.8113,0.6314,0.3849
7,improve,0.135,2246.7682,0.5192,13.1711
8,buy,-0.0131,24.1548,0.5299,-0.0436
9,buy,-0.0054,36.0872,0.4799,0.0636
10,improve,0.002,227.9053,0.5009,0.7208
11,buy,-0.0017,20.8707,0.4279,0.0515
12,improve,0.1215,120.68,0.5637,1.4531
13,buy,0.0096,19.0647,0.3781,0.1493
14,improve,-0.016,91.0409,0.5359,0.2119
15,buy,0.0373,685.3558,0.3993,2.4386
16,improve,0.0055,20372.5298,0.5634,11.8171
17,buy,-0.0024,19.7786,0.4763,-0.0162
18,improve,-0.0171,1852.2737,0.6674,0.4411
19,buy,-0.0089,20.1348,0.5085,-0.0764
20,improve,-0.0551,410.4071,0.6429,-0.3311
21,buy,0.0007,24.0758,0.583,0.0158
22,buy,-0.0096,21.0855,0.5698,-0.0771
23,improve,-0.0353,2329.7888,0.6039,0.7747
24,buy,0.0405,18.037,0.6041,0.3747
25,improve,-0.032,1605.2504,0.6318,0.5
26,buy,0.013,15.8459,0.6214,0.1213
27,improve,-0.0025,149.6706,0.6195,0.0598
28,buy,-0.374,19.8897,0.6446,-2.6659
29,buy,-0.0135,16.4964,0.5863,-0.0819
30,improve,-0.2156,1416.6043,0.6782,-0.4346
31,buy,0.0111,18.6896,0.5045,0.0863
32,improve,0.0643,33.5678,0.6409,0.4782
33,buy,0.0167,21.2572,0.4678,0.1372
34,improve,-0.0049,516.4508,0.6393,0.4382
35,buy,-0.0196,18.8373,0.5478,-0.142
36,improve,-0.0086,968.978,0.5965,0.8927
37,buy,-0.0254,17.0815,0.5803,-0.1912
38,buy,0.0018,17.3013,0.5772,0.0358
39,improve,0.0929,851.4369,0.6625,1.7794
40,buy,-0.0014,17.2278,0.5729,0.0092
41,improve,-0.1777,6469.9711,0.6895,3.7788
42,buy,-0.0012,23.0214,0.5166,0.0074
43,improve,-0.0038,5939.6556,0.6773,2.9315
44,buy,0.0118,23.8108,0.4919,0.096
45,improve,0.0007,2393.7352,0.677,1.0757
46,buy,-0.0015,24.1889,0.5249,-0.0017
47,improve,-0.0611,4414.2661,0.6504,1.3809
48,buy,-0.0324,18.3601,0.4816,-0.2573
49,improve,-0.0017,629.7291,0.6506,0.2637
50,buy,0.0109,17.9801,0.4276,0.0952
51,buy,0.031,19.4318,0.4878,0.2739
52,improve,0.0049,185.3425,0.6242,0.1538
53,improve,0.0204,2331.1881,0.5979,1.4505
54,buy,0.0044,14.8955,0.6079,0.0489
55,improve,-0.0034,32.3108,0.5877,-0.0138
56,buy,-0.003,15.3608,0.6389,-0.0221
57,improve,0.0046,44.7539,0.5796,0.0742
58,buy,-0.0413,12.1522,0.6556,-0.4094
59,improve,-0.0193,17.6324,0.4797,-0.1876
60,buy,-0.0241,12.9072,0.663,-0.2423
61,improve,0.0102,881.7172,0.5362,0.9495
62,buy,-0.0065,13.8466,0.6469,-0.0589
63,improve,-0.0008,12.1377,0.4546,0.0013
64,buy,0.0063,20.6845,0.6231,0.086
65,improve,0.0026,2335.9884,0.4869,2.2687
66,buy,-0.0053,15.4193,0.6663,-0.0448
67,improve,0.1393,12.577,0.3515,1.0558
68,buy,-0.0064,14.7622,0.6134,-0.0418
69,improve,0.0021,353.0893,0.433,0.4038
70,buy,-0.0483,14.2582,0.6604,-0.338
71,improve,0.0026,27.1002,0.3513,0.0543
72,buy,0.0445,8.6784,0.6853,0.3064
73,improve,0.004,576.6351,0.3161,0.8337
74,buy,-0.0262,12.9334,0.6851,-0.1765
75,improve,0.0208,125.0471,0.3339,0.341
76,buy,-0.0025,11.1179,0.6801,0.0004
77,buy,-0.0111,12.9549,0.653,-0.0656
78,improve,0.0289,290.7481,0.3971,0.7878
79,buy,-0.0288,13.7821,0.5728,-0.1913
80,improve,-0.0104,591.9044,0.309,1.1462
81,buy,0.0692,11.7287,0.4904,0.5347
82,improve,-0.004,71.0343,0.2219,0.1277
83,buy,0.0032,14.4757,0.4003,0.0613
84,improve,0.2266,19.2116,0.2748,1.681
85,improve,-0.0107,80.7533,0.2728,0.1593
86,buy,0.0024,13.853,0.3742,0.0639
87,improve,-0.1094,2189.4684,0.2139,3.9747
88,buy,0.0089,14.4012,0.3632,0.0882
89,improve,0.0292,45.9126,0.2831,0.3118
90,improve,-0.0027,292.0505,0.2737,0.5393
91,buy,0.0093,11.4912,0.4641,0.102
92,improve,-0.0586,23.0394,0.2909,-0.4639
93,buy,-0.014,11.991,0.4693,-0.0893
94,improve,-0.0303,6.6515,0.2608,-0.2562
95,buy,-0.0041,12.1626,0.4772,0.0006
96,improve,-0.0033,26.9056,0.2715,0.0561
97,buy,0.0521,27.3924,0.5333,0.5359
98,improve,-0.0059,4418.9592,0.1793,6.1505
99,buy,-0.0036,7.2329,0.6053,-0.0288
100,improve,0.0409,49.6605,0.1949,0.4278
101,buy,-0.0155,8.332,0.6619,-0.1296
102,improve,0.006,12.9663,0.2178,0.0643
103,buy,-0.027,8.6398,0.6767,-0.2391
104,improve,0.0026,7.8514,0.1983,0.0343
105,buy,-0.0417,8.1251,0.6061,-0.3789
106,improve,0.0122,23.4736,0.1288,0.1556
107,buy,-0.0205,11.3169,0.6005,-0.1807
108,improve,-0.0043,12.9045,0.1416,-0.0153
109,buy,-0.0015,6.3074,0.6026,-0.0005
110,improve,-0.0008,60.7576,0.1199,0.1545
111,buy,-0.0658,6.6896,0.6027,-0.6368
112,improve,-0.0001,12.0553,0.1334,0.0354
113,buy,-0.1097,9.9111,0.5508,-1.0007
114,improve,0.0025,2.526,0.1582,0.0321
115,buy,-0.0143,7.2148,0.4631,-0.1042
116,improve,0.0009,5.5289,0.1428,0.0291
117,improve,-0.1017,10.6184,0.116,-0.846
118,buy,-0.0007,7.0489,0.4473,0.0326
119,improve,-0.0304,8.021,0.1196,-0.2201
120,improve,0.0023,4.7096,0.1011,0.0511
121,buy,0.0027,6.3851,0.4201,0.073
122,improve,0.0027,20.2012,0.0912,0.1587
123,buy,-0.0405,5.0545,0.4089,-0.2675
124,improve,-0.0084,3.4631,0.0935,-0.0287
125,buy,-0.0014,4.3379,0.394,0.0381
126,improve,-0.0038,4.042,0.1196,0.0157
127,buy,0.029,7.4694,0.4541,0.3488
128,improve,-0.0013,29.3105,0.1309,0.3922
129,buy,0.0308,2.436,0.5368,0.3053
130,improve,-0.0114,8.3093,0.1288,0.0233
131,buy,0.0108,2.8352,0.6003,0.1497
132,improve,-0.011,0.852,0.1259,-0.084
133,improve,-0.0051,8.7349,0.1142,0.1377
134,buy,0.0068,1.5864,0.6213,0.0967
135,improve,-0.0009,5.8517,0.1146,0.1357
136,buy,-0.0067,2.6602,0.5744,0.0057
137,improve,-0.1028,6.467,0.1227,-0.7531
138,buy,-0.0005,1.8635,0.5139,0.0523
139,improve,-0.0247,8.9538,0.1088,0.0732
140,buy,0.002,2.7074,0.5123,0.1122
141,improve,-0.0,0.6468,0.1037,0.0241
142,buy,0.0102,1.5961,0.5133,0.17
143,improve,-0.0034,2.8083,0.1121,0.0883
144,buy,0.0322,1.3325,0.4766,0.3892
145,improve,0.0016,3.8365,0.1179,0.2186
146,buy,-0.0079,0.9893,0.4169,-0.0318
147,improve,-0.0849,0.2386,0.1575,-0.874
148,buy,0.0009,1.4791,0.3975,0.1066
149,improve,0.0012,0.4763,0.1759,0.0112
150,buy,-0.0024,1.4198,0.4011,0.0881
