episode_range,avg_win_rate,avg_episode_return,avg_episode_length
0-49,0.2,37.1916,443.44
50-99,0.1,32.3738,421.56
100-149,0.12,38.4729,440.06
150-199,0.3,49.62,424.0
200-249,0.28,38.0685,382.68
250-299,0.18,44.7234,431.48
300-349,0.08,36.505,411.74
350-399,0.16,38.1231,427.48
400-449,0.2,32.9244,412.32
450-499,0.26,44.1626,410.16
500-549,0.3,38.8567,417.78
550-599,0.28,46.4471,419.6
600-649,0.28,59.5375,431.78
650-699,0.24,58.7606,427.58
700-749,0.18,46.3925,428.14
750-799,0.32,43.4324,406.24
800-849,0.26,51.6325,423.66
850-899,0.36,58.9693,420.48
900-949,0.32,50.1194,426.4
950-999,0.26,48.7524,426.0
1000-1049,0.2,44.5101,433.94
1050-1099,0.26,49.9478,413.2
1100-1149,0.28,55.989,422.7
1150-1199,0.36,49.1829,407.64
1200-1249,0.42,56.2487,416.42
1250-1299,0.34,55.975,439.0
1300-1349,0.38,55.6943,422.3
1350-1399,0.3,51.4153,434.18
1400-1449,0.3,40.3032,425.12
1450-1499,0.26,43.3251,402.28
