episode,winner,ppo_agent_reward,episode_length
0,Conservative,34.4348,500
1,ValueBuyer,50.4643,500
2,Aggressive,2.8965,82
3,Aggressive,16.5574,205
4,Aggressive,33.985,500
5,Aggressive,31.8678,500
6,Aggressive,36.3411,500
7,Aggressive,31.2396,500
8,Aggressive,25.5348,500
9,ValueBuyer,59.4733,500
10,Aggressive,21.478,500
11,Conservative,36.3944,500
12,Aggressive,34.0695,500
13,Conservative,19.9065,500
14,Conservative,43.0403,500
15,Aggressive,51.6342,500
16,Conservative,45.4806,500
17,Aggressive,21.2043,354
18,Aggressive,31.8723,500
19,ValueBuyer,148.0863,236
20,Aggressive,30.1517,500
21,Random,28.7881,500
22,Conservative,14.0769,227
23,Conservative,25.7323,500
24,ValueBuyer,44.5879,500
25,Aggressive,17.1323,272
26,Aggressive,38.4181,500
27,Conservative,22.3172,500
28,Aggressive,37.3839,500
29,ValueBuyer,51.1017,500
30,Aggressive,31.8471,500
31,Aggressive,21.2892,437
32,Aggressive,10.8815,170
33,Aggressive,37.5456,500
34,Aggressive,27.7765,500
35,Conservative,38.5743,500
36,Random,39.2176,361
37,ValueBuyer,86.3313,330
38,ValueBuyer,64.8062,199
39,Aggressive,43.9143,500
40,Conservative,30.2013,500
41,Conservative,43.941,500
42,Conservative,29.6734,500
43,ValueBuyer,62.9464,500
44,Conservative,28.7546,500
45,Conservative,16.2563,299
46,Aggressive,29.3398,500
47,ValueBuyer,49.2957,500
48,ValueBuyer,51.4548,500
49,Random,29.8842,500
50,Aggressive,42.1505,500
51,Conservative,30.9036,500
52,Aggressive,13.932,305
53,Conservative,30.6888,500
54,Aggressive,41.6271,500
55,Aggressive,25.034,276
56,Aggressive,11.9348,289
57,Conservative,23.5028,370
58,Conservative,29.1528,312
59,Aggressive,13.8988,292
60,Aggressive,21.5927,375
61,Conservative,33.1952,500
62,Conservative,39.1219,500
63,Aggressive,12.5827,142
64,ValueBuyer,58.7625,500
65,Aggressive,35.219,500
66,Conservative,32.4492,500
67,Conservative,23.5059,401
68,Conservative,11.0754,183
69,Conservative,13.2004,500
70,Conservative,34.8151,500
71,Conservative,37.6804,500
72,Aggressive,39.9821,500
73,Aggressive,23.9416,253
74,Aggressive,19.6913,329
75,Conservative,16.4487,279
76,ValueBuyer,54.4891,500
77,Conservative,35.2304,500
78,Aggressive,40.9338,500
