update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
1,buy,-0.0016,21.4644,0.6892,10.7299
2,improve,-0.0707,651.2809,0.6499,325.569
3,buy,-0.0035,19.4478,0.6822,9.7197
4,buy,0.0037,27.7768,0.6843,13.8914
5,improve,0.0032,724.3857,0.6749,362.1953
6,buy,-0.0078,17.5658,0.6906,8.7744
7,buy,0.0016,18.3539,0.6924,9.1779
8,improve,-0.1591,166.8177,0.6834,83.2491
9,buy,0.0058,14.8852,0.6914,7.4477
10,buy,-0.005,13.8722,0.6739,6.9304
11,buy,0.0111,11.6678,0.6503,5.8443
12,improve,-0.0212,630.8125,0.6877,315.3843
13,buy,0.0006,27.3888,0.6284,13.6944
14,improve,0.0036,1552.0357,0.686,776.0208
15,buy,-0.0029,13.4249,0.6016,6.7089
16,buy,-0.0019,12.6215,0.6285,6.3082
17,improve,-0.0518,4376.9836,0.6795,2188.4394
18,buy,0.0057,11.0611,0.6528,5.5356
19,buy,-0.006,11.8541,0.6432,5.9204
20,improve,0.0462,45.9435,0.6833,23.0173
21,buy,-0.0125,18.585,0.6154,9.2794
22,improve,0.024,580.6186,0.6718,290.3326
23,buy,-0.0004,16.1828,0.6005,8.0904
24,improve,-0.0002,1841.8501,0.6519,920.9242
25,buy,-0.0132,10.0128,0.6007,4.9926
26,improve,0.0155,589.3062,0.6397,294.668
27,buy,-0.0055,7.9288,0.656,3.9583
28,improve,-0.0336,1266.8458,0.6308,633.3886
29,buy,0.0092,18.3282,0.6792,9.1726
30,improve,-0.0152,1688.933,0.6229,844.4507
31,buy,-0.0005,6.5559,0.6868,3.2768
32,buy,0.0122,5.0709,0.689,2.547
33,buy,-0.0032,5.9703,0.6868,2.9813
34,buy,-0.0137,9.3333,0.6887,4.6523
35,buy,-0.0533,6.9098,0.6836,3.4009
36,buy,-0.0018,7.0277,0.6708,3.5113
37,buy,-0.0027,7.2651,0.6406,3.6292
38,buy,-0.004,11.9238,0.6048,5.9573
39,buy,-0.0194,5.4748,0.5493,2.7175
40,improve,-0.004,1033.2705,0.6198,516.6306
41,buy,0.0028,5.4682,0.4798,2.7364
42,improve,0.0,1071.5273,0.6215,535.7631
43,buy,-0.0021,18.9355,0.454,9.4652
44,improve,-0.0474,64.9588,0.6277,32.4314
45,buy,-0.0196,5.849,0.4169,2.9045
46,improve,-0.0567,347.9368,0.6049,173.9111
47,buy,0.0289,5.4148,0.4096,2.7359
48,improve,0.0131,504.0211,0.5686,252.0231
49,buy,-0.0357,10.5139,0.3633,5.2209
50,improve,-0.0063,511.2427,0.5501,255.6145
51,buy,-0.0083,5.9156,0.3238,2.9492
52,improve,0.1017,1090.282,0.5475,545.2422
53,buy,0.0008,4.1676,0.3276,2.0843
54,buy,0.0003,8.508,0.3519,4.2539
55,improve,0.0,1967.9405,0.5425,983.9697
56,buy,0.0034,10.223,0.3623,5.1146
57,improve,0.0056,3057.6847,0.5379,1528.8474
58,buy,0.0119,3.6126,0.4023,1.8178
59,buy,0.0059,23.1829,0.4407,11.5969
60,improve,-0.0085,3994.5788,0.534,1997.2804
61,buy,-0.0024,2.8912,0.4357,1.4428
62,buy,-0.0239,3.2399,0.3884,1.5957
63,improve,-0.056,12304.5674,0.5304,6152.2272
64,buy,-0.0004,4.1193,0.3273,2.0589
65,improve,-0.0469,1197.3875,0.5308,598.6463
66,buy,-0.0027,5.5391,0.2949,2.7666
67,improve,0.0973,1961.5544,0.5394,980.8739
68,buy,0.0001,3.0246,0.2667,1.5121
69,improve,0.0607,412.9554,0.5641,206.5379
70,buy,0.049,4.643,0.2306,2.3703
71,improve,-0.0136,508.7452,0.5786,254.3584
72,buy,-0.0003,4.4241,0.2048,2.2116
73,buy,-0.0024,2.1359,0.1994,1.0654
74,improve,0.0479,5237.3337,0.5805,2618.7142
75,buy,-0.0375,9.9312,0.1977,4.9278
76,improve,0.0124,865.4498,0.5833,432.7368
77,buy,-0.0215,15.468,0.1926,7.7123
78,improve,-0.0062,574.7075,0.5837,287.3469
79,buy,0.0134,2.2437,0.1885,1.135
80,improve,0.0019,1311.5723,0.5824,655.7875
81,buy,0.0,7.9358,0.1867,3.9678
82,buy,0.0013,1.9657,0.1913,0.984
83,buy,-0.008,3.104,0.1932,1.5438
84,improve,0.0389,863.4205,0.5841,431.7486
85,buy,-0.0119,3.9389,0.1947,1.9573
86,improve,0.0058,455.9478,0.5758,227.9792
87,buy,0.0032,2.2961,0.1959,1.1511
88,improve,-0.013,239.8243,0.5629,119.8986
89,buy,0.0055,5.6898,0.2101,2.8502
90,buy,0.0021,1.1831,0.2232,0.5935
91,improve,0.0325,118.8638,0.5454,59.4639
92,buy,0.0001,0.5523,0.2247,0.276
93,buy,0.0005,0.9553,0.1947,0.478
94,improve,0.0024,8466.6471,0.5346,4233.3254
95,buy,0.1845,0.6518,0.1943,0.5102
96,buy,-0.0024,0.7189,0.2406,0.3568
97,improve,0.0218,2349.744,0.512,1174.8933
98,buy,0.0108,2.1579,0.2428,1.0895
99,improve,0.0266,389.8365,0.4446,194.9444
100,buy,-0.0232,15.2626,0.2425,7.6079
101,improve,-0.0203,1229.0947,0.4096,614.5267
102,buy,0.0567,0.338,0.2117,0.2255
103,improve,0.0019,871.6926,0.3926,435.8478
104,buy,0.0015,0.3764,0.1623,0.1895
105,improve,0.0,976.8459,0.383,488.4226
106,buy,-0.0088,0.479,0.1686,0.2305
107,improve,-0.0209,215.8344,0.3786,107.8959
108,buy,0.0389,1.138,0.1662,0.6077
109,improve,0.0139,999.0908,0.3749,499.5589
110,buy,0.0074,0.6913,0.1638,0.3529
111,improve,0.0282,305.9493,0.3725,153.0025
112,buy,-0.0,2.8334,0.1542,1.4165
113,improve,0.0017,1696.9291,0.3699,848.4659
114,buy,0.0002,0.4737,0.155,0.2369
115,improve,-0.0166,464.2979,0.3687,232.132
116,buy,-0.0181,2.3796,0.1435,1.1715
117,improve,-0.0056,137.8369,0.3678,68.9125
118,buy,0.0002,0.0777,0.1484,0.0389
119,buy,0.0025,0.6506,0.144,0.3277
120,improve,0.0244,217.7234,0.3684,108.8858
121,buy,-0.0111,0.0793,0.1135,0.0284
