improve_threshold,n_buckets,alpha,wins,win_rate_pct,rank,episodes
0.4,2,0.2,401,26.73,2,1500
0.8,2,0.2,394,26.27,2,1500
1.0,2,0.2,366,24.40,2,1500
0.8,5,0.2,309,20.60,3,1500
1.0,5,0.2,298,19.87,3,1500
0.8,4,0.05,297,19.80,3,1500
0.8,6,0.05,295,19.67,3,1500
0.4,3,0.05,293,19.53,3,1500
1.0,4,0.05,293,19.53,3,1500
0.8,3,0.05,289,19.27,3,1500
1.0,3,0.05,288,19.20,3,1500
1.0,6,0.05,286,19.07,3,1500
0.4,4,0.05,284,18.93,3,1500
0.4,6,0.05,279,18.60,3,1500
0.8,5,0.05,275,18.33,3,1500
0.4,3,0.2,274,18.27,4,1500
0.4,5,0.2,270,18.00,3,1500
0.8,3,0.2,267,17.80,4,1500
1.0,5,0.05,265,17.67,3,1500
1.0,3,0.2,259,17.27,4,1500
0.4,5,0.05,240,16.00,3,1500
0.8,6,0.2,232,15.47,4,1500
1.0,6,0.2,223,14.87,4,1500
0.8,2,0.05,213,14.20,4,1500
1.0,4,0.2,211,14.07,4,1500
0.4,2,0.05,207,13.80,4,1500
0.4,4,0.2,204,13.60,4,1500
1.0,2,0.05,202,13.47,4,1500
0.8,4,0.2,200,13.33,4,1500
0.4,6,0.2,192,12.80,4,1500
