lr,entropy_coef,n_steps,n_epochs,gamma,clip_eps,normalize_rewards,wins,win_rate_pct,rank,episodes
0.001,0.0,128,6,0.95,0.3,True,940,31.33,2,3000
0.003,0.001,128,10,0.95,0.2,False,931,31.03,2,3000
0.001,0.001,512,6,0.99,0.1,False,921,30.70,2,3000
0.001,0.001,128,2,0.95,0.3,True,918,30.60,2,3000
0.003,0.001,128,2,0.95,0.2,True,907,30.23,2,3000
0.003,0.0,256,2,0.95,0.3,False,894,29.80,2,3000
0.001,0.0,128,6,0.95,0.1,True,892,29.73,2,3000
0.001,0.01,256,4,0.95,0.3,True,888,29.60,2,3000
0.001,0.0,128,6,0.95,0.1,False,884,29.47,2,3000
0.001,0.001,256,2,0.95,0.2,False,883,29.43,2,3000
0.001,0.001,128,2,0.95,0.15,True,881,29.37,2,3000
0.003,0.01,512,4,0.99,0.1,False,874,29.13,2,3000
0.001,0.001,256,2,0.99,0.3,False,873,29.10,2,3000
0.001,0.0,1024,2,0.95,0.3,False,873,29.10,2,3000
0.003,0.001,128,10,0.95,0.2,True,871,29.03,2,3000
0.003,0.001,128,10,0.95,0.3,False,869,28.97,2,3000
0.0003,0.001,512,4,0.95,0.1,False,865,28.83,2,3000
0.001,0.01,256,4,0.95,0.15,False,863,28.77,2,3000
0.001,0.0,128,6,0.95,0.15,True,863,28.77,2,3000
0.003,0.001,128,2,0.95,0.2,False,858,28.60,2,3000
0.001,0.01,256,6,0.99,0.2,False,855,28.50,2,3000
0.001,0.01,256,6,0.95,0.15,False,854,28.47,2,3000
0.0003,0.01,512,10,0.95,0.2,False,852,28.40,2,3000
0.003,0.0,256,2,0.99,0.1,False,849,28.30,2,3000
0.0003,0.001,512,4,0.95,0.2,False,847,28.23,2,3000
0.001,0.0,128,6,0.99,0.3,True,843,28.10,2,3000
0.003,0.001,128,10,0.95,0.15,False,842,28.07,2,3000
0.0003,0.0,512,6,0.95,0.15,False,841,28.03,2,3000
0.0003,0.01,512,10,0.99,0.3,False,841,28.03,2,3000
0.003,0.01,512,4,0.99,0.3,False,841,28.03,2,3000
0.0003,0.001,512,4,0.95,0.15,False,839,27.97,2,3000
0.001,0.01,256,4,0.99,0.3,True,838,27.93,2,3000
0.001,0.0,128,6,0.95,0.3,False,835,27.83,2,3000
0.0003,0.0,512,6,0.99,0.2,True,834,27.80,2,3000
0.001,0.001,128,2,0.95,0.15,False,833,27.77,2,3000
0.001,0.001,256,2,0.95,0.1,True,832,27.73,2,3000
0.001,0.01,256,6,0.99,0.15,False,831,27.70,2,3000
0.001,0.01,256,4,0.99,0.15,False,831,27.70,2,3000
0.001,0.01,256,6,0.99,0.15,True,830,27.67,2,3000
0.003,0.001,128,2,0.95,0.15,True,821,27.37,2,3000
0.003,0.0,256,10,0.95,0.2,False,819,27.30,2,3000
0.0003,0.001,512,4,0.95,0.1,True,819,27.30,2,3000
0.0003,0.001,512,4,0.99,0.1,False,819,27.30,2,3000
0.001,0.0,128,6,0.99,0.2,False,818,27.27,2,3000
0.003,0.001,128,2,0.95,0.1,True,815,27.17,2,3000
0.001,0.001,512,6,0.99,0.3,False,815,27.17,2,3000
0.001,0.001,128,2,0.95,0.2,True,813,27.10,2,3000
0.001,0.001,256,2,0.99,0.2,False,812,27.07,2,3000
0.0003,0.0,512,10,0.95,0.2,True,812,27.07,2,3000
0.003,0.001,128,2,0.99,0.3,False,809,26.97,2,3000
0.0003,0.01,512,10,0.99,0.2,False,809,26.97,2,3000
0.0003,0.01,128,10,0.99,0.3,False,808,26.93,2,3000
0.003,0.0,256,2,0.95,0.15,True,808,26.93,2,3000
0.003,0.001,128,10,0.99,0.15,False,808,26.93,2,3000
0.0001,0.01,256,2,0.99,0.3,False,805,26.83,2,3000
0.001,0.001,512,6,0.95,0.2,True,802,26.73,2,3000
0.001,0.0,128,6,0.99,0.15,False,802,26.73,2,3000
0.001,0.001,256,2,0.95,0.2,True,801,26.70,2,3000
0.001,0.01,256,6,0.95,0.2,True,801,26.70,2,3000
0.0003,0.01,128,10,0.95,0.1,False,800,26.67,2,3000
0.001,0.01,256,4,0.95,0.3,False,800,26.67,2,3000
0.0003,0.0,512,6,0.95,0.2,False,796,26.53,2,3000
0.003,0.0,256,2,0.95,0.2,False,796,26.53,2,3000
0.0003,0.0,512,10,0.99,0.3,False,796,26.53,2,3000
0.001,0.001,256,2,0.95,0.3,True,795,26.50,2,3000
0.001,0.001,256,2,0.95,0.15,True,793,26.43,2,3000
0.001,0.001,128,2,0.95,0.1,False,793,26.43,2,3000
0.0003,0.001,512,4,0.95,0.3,False,792,26.40,2,3000
0.0003,0.01,128,10,0.95,0.1,True,791,26.37,2,3000
0.001,0.001,512,6,0.99,0.15,False,791,26.37,2,3000
0.0001,0.001,1024,10,0.99,0.15,False,790,26.33,2,3000
0.0003,0.001,512,4,0.99,0.2,False,789,26.30,2,3000
0.001,0.001,256,2,0.95,0.1,False,788,26.27,2,3000
0.001,0.01,256,4,0.99,0.3,False,788,26.27,2,3000
0.0003,0.0,512,10,0.99,0.15,False,788,26.27,2,3000
0.0001,0.01,512,10,0.99,0.1,True,787,26.23,2,3000
0.001,0.001,128,2,0.99,0.2,True,787,26.23,2,3000
0.001,0.01,256,4,0.95,0.2,False,787,26.23,2,3000
0.001,0.01,256,4,0.99,0.2,True,787,26.23,2,3000
0.001,0.0,128,6,0.99,0.15,True,785,26.17,2,3000
0.001,0.001,128,2,0.99,0.15,True,783,26.10,2,3000
0.003,0.0,256,10,0.99,0.1,False,783,26.10,2,3000
0.0003,0.01,128,10,0.95,0.3,True,781,26.03,2,3000
0.001,0.0,128,6,0.95,0.2,True,779,25.97,2,3000
0.0001,0.01,512,10,0.99,0.1,False,778,25.93,2,3000
0.001,0.001,128,2,0.95,0.3,False,778,25.93,2,3000
0.003,0.0,256,2,0.99,0.15,False,778,25.93,2,3000
0.0003,0.01,512,10,0.99,0.3,True,777,25.90,2,3000
0.003,0.01,512,4,0.99,0.15,False,777,25.90,2,3000
0.0003,0.0,512,6,0.95,0.15,True,776,25.87,2,3000
0.0003,0.0,512,6,0.99,0.3,True,776,25.87,2,3000
0.001,0.001,512,6,0.99,0.2,True,776,25.87,2,3000
0.0003,0.01,128,10,0.99,0.2,True,775,25.83,2,3000
0.0001,0.001,1024,10,0.99,0.1,True,775,25.83,2,3000
0.003,0.0,256,2,0.99,0.3,False,774,25.80,2,3000
0.0003,0.0,512,10,0.95,0.1,True,773,25.77,2,3000
0.001,0.01,256,6,0.99,0.2,True,772,25.73,2,3000
0.0001,0.001,1024,10,0.99,0.2,False,772,25.73,2,3000
0.0003,0.001,512,4,0.95,0.3,True,771,25.70,2,3000
0.0003,0.01,128,10,0.95,0.3,False,769,25.63,2,3000
0.0001,0.01,512,10,0.99,0.2,False,768,25.60,2,3000
0.001,0.01,256,4,0.99,0.1,False,768,25.60,2,3000
0.003,0.0,256,10,0.95,0.3,True,768,25.60,2,3000
0.001,0.0,1024,2,0.99,0.3,True,768,25.60,2,3000
0.0001,0.01,512,10,0.95,0.3,False,767,25.57,2,3000
0.003,0.0,256,2,0.99,0.2,False,767,25.57,2,3000
0.003,0.01,512,4,0.95,0.3,True,767,25.57,2,3000
0.0003,0.01,128,10,0.95,0.2,True,765,25.50,2,3000
0.003,0.001,128,2,0.95,0.15,False,765,25.50,2,3000
0.0003,0.001,512,4,0.99,0.1,True,765,25.50,2,3000
