lr,entropy_coef,n_steps,n_epochs,wins,win_rate_pct,rank,episodes
0.0003,0.01,128,10,914,30.47,2,3000
0.001,0.001,256,2,887,29.57,2,3000
0.0003,0.0,512,6,884,29.47,2,3000
0.001,0.01,256,6,881,29.37,2,3000
0.0001,0.01,512,10,878,29.27,2,3000
0.003,0.001,128,2,878,29.27,2,3000
0.001,0.001,128,2,873,29.10,2,3000
0.001,0.01,256,4,873,29.10,2,3000
0.001,0.001,512,6,862,28.73,2,3000
0.0001,0.001,1024,10,848,28.27,2,3000
0.003,0.0,256,2,848,28.27,2,3000
0.0003,0.01,512,10,847,28.23,2,3000
0.003,0.0,256,10,844,28.13,2,3000
0.0003,0.001,512,4,843,28.10,2,3000
0.001,0.0,128,6,842,28.07,2,3000
0.001,0.0,1024,2,840,28.00,2,3000
0.0001,0.01,256,2,837,27.90,2,3000
0.0003,0.0,512,10,837,27.90,2,3000
0.003,0.001,128,10,835,27.83,2,3000
0.003,0.01,512,4,831,27.70,2,3000
0.003,0.05,128,4,831,27.70,2,3000
0.003,0.01,512,6,829,27.63,2,3000
0.001,0.001,512,4,828,27.60,2,3000
0.001,0.0,512,4,825,27.50,2,3000
0.001,0.01,256,2,822,27.40,2,3000
0.003,0.0,512,10,821,27.37,2,3000
0.0003,0.0,256,10,820,27.33,2,3000
0.001,0.001,128,6,819,27.30,2,3000
0.001,0.001,256,10,819,27.30,2,3000
0.001,0.01,256,10,819,27.30,2,3000
0.0001,0.05,256,10,814,27.13,2,3000
0.001,0.001,512,2,814,27.13,2,3000
0.0001,0.01,512,4,813,27.10,2,3000
0.0001,0.0,256,6,812,27.07,2,3000
0.0001,0.0,1024,4,812,27.07,2,3000
0.0003,0.01,256,6,809,26.97,2,3000
0.0003,0.01,1024,6,809,26.97,2,3000
0.0003,0.0,256,4,806,26.87,2,3000
0.003,0.01,1024,6,802,26.73,2,3000
0.001,0.0,256,6,801,26.70,2,3000
0.001,0.01,1024,2,800,26.67,2,3000
0.0003,0.001,256,10,799,26.63,2,3000
0.0001,0.001,128,10,798,26.60,2,3000
0.0001,0.01,512,6,797,26.57,2,3000
0.0003,0.001,1024,2,797,26.57,2,3000
0.0003,0.001,1024,10,797,26.57,2,3000
0.0001,0.0,256,10,796,26.53,2,3000
0.0001,0.01,256,10,796,26.53,2,3000
0.0003,0.001,256,2,796,26.53,2,3000
0.0001,0.05,256,2,795,26.50,2,3000
0.001,0.0,1024,10,794,26.47,2,3000
0.001,0.0,256,10,793,26.43,2,3000
